Speaker,Line
Sheldon,"So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If itês unobserved it will, however, if itês observed after itês left the plane but before it hits its target, it will not have gone through both slits."
Leonard,"Agreed, whatês your point?"
Sheldon,"Thereês no point, I just think itês a good idea for a tee-shirt. "
Leonard,Excuse me?
Leonard,"One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down isÑ move your fingerÑ phylum, which makes fourteen across Port-au-Prince. See, Papa Docês capital idea, thatês Port-au-Prince. Haiti. "
Leonard,"Yes. Um, is this the High IQ sperm bank?"
Sheldon,I think this is the place.
Leonard,Thank-you. Weêll be right back.
Sheldon,"Leonard, I donêt think I can do this."
Leonard,are you kidding? Youêre a semi-pro. 
Sheldon,"We are committing genetic fraud. Thereês no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
Leonard,"Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
Sheldon,"I know, and I do yearn for faster downloads, but thereês some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesnêt know if he should use an integral or a differential to solve the area under a curve."
Leonard,Iêm sure sheêll still love him.
Sheldon,I wouldnêt.
Leonard,"Well, what do you want to do?"
Sheldon,I want to leave.
Sheldon,Whatês the protocol for leaving?
Leonard,"I donêt know, Iêve never reneged on a proffer of sperm before."
Sheldon,Letês try just walking out.
Leonard,See you.
Sheldon,Are you still mad about the sperm bank?
Sheldon,You want to hear an interesting thing about stairs?
Leonard,Not really.
Sheldon,"If the height of a single step is off by as little as two millimetres, most people will trip."
Leonard,I donêt care. Two millimetres? That doesnêt seem right.
Sheldon,"No, itês true, I did a series of experiments when I was twelve, my father broke his clavicle."
Leonard,Is that why they sent you to boarding school?
Sheldon,"No, that was the result of my work with lasers."
Leonard,New neighbour?
Leonard,Significant improvement over the old neighbour.
Sheldon,"Two hundred pound transvestite with a skin condition, yes she is."
Penny,"Oh, hi!"
Leonard,"We donêt mean to interrupt, we live across the hall."
Penny,"Oh, thatês nice."
Leonard,"OhÑ uhÑ noÑ we donêt live togetherÑ umÑ we live together but in separate, heterosexual bedrooms."
Penny,"Oh, okay, well, guess Iêm your new neighbour, Penny."
Leonard,"Leonard, Sheldon."
Leonard,"Hi. Well, uh, oh, welcome to the building."
Penny,"Thankyou, maybe we can have coffee sometime."
Leonard,"Oh, great."
Leonard,"Great. Well, bye."
Leonard,Should we have invited her for lunch?
Sheldon,Weêre going to start Season Two of Battlestar Galactica.
Leonard,We already watched the Season Two DVDs.
Sheldon,Not with commentary.
Leonard,"I think we should be good neighbours, invite her over, make her feel welcome."
Sheldon,We never invited Louis-slash-Louise over.
Leonard,"Well, then that was wrong of us. We need to widen our circle."
Sheldon,I have a very wide circle. I have 212 friends on myspace. 
Leonard,"Yes, and youêve never met one of them."
Sheldon,Thatês the beauty of it.
Leonard,Iêm going to invite her over. Weêll have a nice meal and chat.
Sheldon,Chat? We donêt chat. At least not offline.
Leonard,"Well itês not difficult, you just listen to what she says and then you say something appropriate in response."
Sheldon,To what end?
Leonard,Hi. Again.
