Speaker,Line
Amy,"O’er the land of the free, and the home of the… Next."
Amy,"That’s quite an impressive layout, isn’t it?"
Amy,"That’s enough. Sheldon, Sheldon, give it!"
Amy,"Okay, Sheldon, make a wish and blow out the candles. Oops, missed one. Now your wish can’t come true."
Amy,Excuse me. I’m Amy Farrah Fowler. You’re Sheldon Cooper.
Amy,"If that was slang, I’m unfamiliar with it. If it was literal, I share your aversion to soiled hosiery. In any case, I’m here because my mother and I have agreed that I will date at least once a year."
Amy,"I don’t object to the concept of a deity, but I’m baffled by the notion of one that takes attendance."
Amy,"Noted. Now, before this goes any further, you should know that all forms of physical contact up to and including coitus are off the table."
Amy,"Tepid water, please."
Amy,Neurobiologist. Your check engine light is on.
Amy,But the light indicates…
Amy,Dandruff shampoo. I have dry scalp.
Amy,Are you a homosexual?
Amy,Hmm. Would have been more flattered if you were a homosexual.
Amy,"No, thank you."
Amy,No.
Amy,That’s an amusing factoid.
Amy,Is this true?
Amy,"Once a year. It’s a deal I made with my mother in exchange for her silence on the matter, as well as the occasional use of her George Foreman Grill that seals in the flavour without the fat. How about you, Penny? Do you go on many dates?"
Amy,Remarkable. Did you have sexual intercourse with all of these men?
Amy,"This is very interesting. Cultural perceptions are subjective. Penny, to your mind, are you a slut?"
Amy,Does volunteering for a scientific experiment in which orgasm was achieved by electronically stimulating the pleasure centres of the brain count?
Amy,Then 128.
Amy,"In a world where rhinoceroses are domesticated pets, who wins the Second World War?"
Amy,Defend.
Amy,Correct. My turn.
Amy,Tuned bayonets.
Amy,Isn’t it obvious?
Amy,We postulate an alternate world that differs from ours in one key aspect and then pose questions to each other.
Amy,"In a world ruled by a giant beaver, mankind builds many dams to please the beaver overlord. The low-lying city of Copenhagen is flooded. Thousands die. Devastated, the Danes never invent their namesake pastry. How does one miss that?"
Amy,Is he always like this when he loses?
Amy,Perhaps it would be kinder to play a game more suited to his abilities. We’ll close our eyes and count to ten while you hide.
Amy,"Very good, Leonard. But next time, don’t tell us where you’re hiding."
Amy,Hello.
Amy,I must take responsibility. I had to stop for feminine hygiene supplies.
Amy,"Actually, I’m not. In order to avoid surprises, I wear them all the time."
Amy,Shamy?
Amy,Oh. I don’t like that. Don’t do that.
Amy,"Well, just recently, I learned that you refer to us as Shamy, and I don’t like that."
Amy,"Like everybody else’s. Subject to entropy, decay and eventual death. Thank you for asking. Why is she not taking our order?"
Amy,Really? I assumed an establishment called the Cheesecake Factory would function more efficiently.
Amy,"You’re right, he’s a festival of humdrum chitchat."
Amy,I doubt you’d understand. Sheldon tells me you only have a master’s degree.
Amy,I’m curious as to why we’re not eating alone.
Amy,"It’s very impressive, for theoretical work."
Amy,"I’m sorry, was I being too subtle? I meant compared to the real-world applications of neurobiology, theoretical physics is, what’s the word I’m looking for? Hmm, cute."
Amy,I’m stating it outright. Babinski eats Dirac for breakfast and defecates Clarke-Maxwell.
