Label,Features
1,"[27.          2.66666667  0.          0.85185185  0.18518519  0.44444444
  0.          0.          0.          0.          0.        ]"
1,"[21.          2.95238095  0.          0.95238095  0.19047619  0.42857143
  0.          0.          1.          0.          0.        ]"
1,[2. 3. 0. 1. 1. 0. 0. 0. 1. 0. 0.]
1,[4.   2.5  0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,"[9.         3.22222222 0.         1.         0.33333333 0.33333333
 0.         1.         0.         0.         0.        ]"
1,[5.  3.6 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[16.      2.4375  0.      0.875   0.375   0.25    0.      0.      0.
  0.      0.    ]"
1,"[6.         3.16666667 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,"[3.         4.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[15.          3.86666667  0.          0.86666667  0.46666667  0.33333333
  1.          0.          0.          0.          0.        ]"
1,[10.   2.6  0.   1.   0.2  0.6  0.   0.   0.   0.   0. ]
1,[8.    3.    0.    1.    0.125 0.5   0.    1.    1.    0.    0.   ]
1,"[11.          3.81818182  0.          1.          0.27272727  0.27272727
  0.          0.          0.          0.          0.        ]"
1,"[13.          3.69230769  0.          1.          0.23076923  0.23076923
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.          0.          0.88888889  0.33333333  0.44444444
  0.          1.          0.          0.          0.        ]"
1,"[26.          2.65384615  0.          0.76923077  0.34615385  0.42307692
  1.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[16.      3.1875  0.      0.8125  0.25    0.625   0.      0.      0.
  0.      0.    ]"
1,[2. 3. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,"[7.         2.71428571 0.         1.         0.42857143 0.28571429
 0.         0.         0.         1.         0.        ]"
1,[1. 5. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,[10.   3.1  0.   1.   0.2  0.2  0.   0.   0.   0.   0. ]
1,"[9.         2.66666667 0.         1.         0.44444444 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[13.          3.23076923  0.          0.92307692  0.38461538  0.30769231
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.         0.         1.         0.33333333 0.44444444
 0.         0.         0.         0.         0.        ]"
1,[8.    2.625 0.    1.    0.5   0.375 0.    0.    0.    0.    0.   ]
1,"[14.          2.35714286  0.          0.85714286  0.28571429  0.57142857
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,[4.   1.75 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,"[15.          3.46666667  0.          0.93333333  0.33333333  0.33333333
  1.          0.          0.          0.          0.        ]"
1,[4.   4.25 0.   1.   0.25 0.25 0.   0.   1.   0.   0.  ]
1,"[7.         2.57142857 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[20.    2.7   0.    0.95  0.3   0.5   1.    0.    0.    0.    0.  ]
1,[5.  1.6 0.  1.  0.6 0.4 0.  0.  0.  0.  0. ]
1,"[9.         2.88888889 0.         1.         0.22222222 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[17.          2.88235294  0.          0.88235294  0.29411765  0.52941176
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.1875  0.      1.      0.25    0.375   0.      0.      1.
  0.      0.    ]"
1,"[6.         2.83333333 0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,"[9.         2.77777778 0.         0.88888889 0.22222222 0.44444444
 0.         0.         0.         0.         0.        ]"
1,[8.   2.75 0.   1.   0.25 0.5  0.   0.   1.   0.   0.  ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[7.         2.28571429 0.         0.85714286 0.42857143 0.14285714
 0.         0.         0.         0.         0.        ]"
1,[5.  2.8 0.  1.  0.2 0.4 0.  0.  0.  0.  0. ]
1,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[8.   3.5  0.   1.   0.25 0.5  0.   0.   1.   0.   0.  ]
1,"[16.      3.25    0.      0.9375  0.25    0.5     0.      0.      1.
  0.      0.    ]"
1,[10.   2.7  0.   1.   0.2  0.5  0.   0.   1.   0.   0. ]
1,[8.    3.    0.    0.625 0.5   0.25  0.    0.    0.    0.    0.   ]
1,[10.   2.3  0.   1.   0.3  0.5  1.   0.   0.   0.   0. ]
1,[2.  3.  0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[14.          2.5         0.          1.          0.35714286  0.35714286
  0.          0.          1.          0.          0.        ]"
1,"[9.         3.33333333 0.         1.         0.22222222 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[9.         3.44444444 0.         1.         0.33333333 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[38.          3.26315789  0.          0.78947368  0.23684211  0.44736842
  0.          0.          0.          0.          0.        ]"
1,"[27.          3.          0.          0.85185185  0.22222222  0.37037037
  0.          0.          0.          0.          0.        ]"
1,[10.   2.6  0.   1.   0.4  0.5  0.   0.   1.   0.   0. ]
1,"[17.          3.17647059  0.          1.          0.17647059  0.52941176
  0.          0.          0.          0.          0.        ]"
1,[6.  3.  0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[9.         3.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[23.          3.52173913  0.          0.95652174  0.34782609  0.26086957
  1.          0.          0.          0.          0.        ]"
1,[4.   2.25 0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,"[6.         4.66666667 0.         1.         0.33333333 0.
 0.         0.         0.         0.         0.        ]"
1,[8.    3.375 0.    1.    0.125 0.625 0.    0.    1.    0.    0.   ]
1,"[23.          3.08695652  0.          0.86956522  0.2173913   0.60869565
  0.          0.          0.          0.          0.        ]"
1,"[33.          3.24242424  0.          0.75757576  0.33333333  0.45454545
  1.          0.          0.          0.          0.        ]"
1,"[23.          3.04347826  0.          0.86956522  0.43478261  0.39130435
  0.          0.          0.          0.          0.        ]"
1,"[6.         3.         0.         1.         0.16666667 0.66666667
 0.         0.         0.         0.         0.        ]"
1,"[9.         3.11111111 0.         1.         0.22222222 0.33333333
 0.         0.         1.         0.         0.        ]"
1,[8.    2.875 0.    1.    0.25  0.375 0.    0.    1.    0.    0.   ]
1,"[7.         3.71428571 0.         1.         0.42857143 0.14285714
 0.         0.         0.         0.         0.        ]"
1,"[6.         2.83333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[8.    3.875 0.    0.875 0.25  0.25  0.    0.    0.    0.    0.   ]
1,"[6.         3.66666667 0.         1.         0.16666667 0.66666667
 0.         0.         1.         0.         0.        ]"
1,[5.  3.4 0.  1.  0.8 0.2 0.  0.  1.  0.  0. ]
1,[2. 3. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,[25.    2.92  0.    0.64  0.24  0.44  1.    0.    0.    0.    0.  ]
