Label,Features
1,"[31.          2.80645161  0.          0.87096774  0.16129032  0.51612903
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.          0.          1.          0.13333333  0.6
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.83333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,"[17.          2.82352941  0.          0.94117647  0.35294118  0.35294118
  0.          0.          1.          0.          0.        ]"
1,"[12.          2.33333333  0.          0.91666667  0.33333333  0.41666667
  0.          0.          1.          0.          0.        ]"
1,"[3.         3.33333333 0.         1.         0.33333333 0.
 0.         0.         0.         0.         0.        ]"
1,[8.    3.5   0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
1,"[41.          2.53658537  0.          0.68292683  0.31707317  0.53658537
  0.          0.          4.          0.          0.        ]"
1,"[13.          3.30769231  0.          0.92307692  0.38461538  0.30769231
  0.          0.          0.          0.          0.        ]"
1,"[31.          3.12903226  0.          0.80645161  0.22580645  0.4516129
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.92857143  0.          0.92857143  0.28571429  0.42857143
  0.          0.          0.          0.          0.        ]"
1,[5.  2.2 0.  1.  0.4 0.6 0.  0.  1.  0.  0. ]
1,[5.  3.  0.  1.  0.2 0.8 0.  0.  1.  0.  0. ]
1,"[15.          2.53333333  0.          0.86666667  0.46666667  0.33333333
  0.          0.          0.          2.          0.        ]"
1,[4.   2.75 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,"[9.         3.22222222 0.         1.         0.22222222 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[14.          3.42857143  0.          1.          0.14285714  0.57142857
  0.          0.          1.          0.          0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[19.          3.57894737  0.          0.89473684  0.31578947  0.36842105
  1.          0.          0.          0.          0.        ]"
1,"[7.         2.28571429 0.         1.         0.42857143 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[5.  2.6 0.  1.  0.2 0.6 0.  0.  1.  0.  0. ]
1,"[7.         2.42857143 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[24.          3.54166667  0.          0.91666667  0.25        0.41666667
  0.          0.          0.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[9.         1.66666667 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[3.         3.33333333 0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,"[7.         2.85714286 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,[4.   2.75 0.   1.   0.5  0.5  0.   0.   1.   0.   0.  ]
1,[20.    3.1   0.    0.9   0.2   0.45  0.    0.    0.    0.    0.  ]
1,"[22.          2.72727273  0.          0.77272727  0.36363636  0.45454545
  0.          0.          0.          0.          0.        ]"
1,[10.   3.8  0.   0.9  0.2  0.6  0.   0.   1.   0.   0. ]
1,"[6.         2.         0.         1.         0.33333333 0.5
 0.         0.         1.         0.         0.        ]"
1,"[18.          3.83333333  0.          0.94444444  0.38888889  0.44444444
  0.          0.          1.          0.          0.        ]"
1,[8.   3.   0.   1.   0.25 0.5  0.   0.   1.   0.   0.  ]
1,"[7.         2.85714286 0.         1.         0.14285714 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[31.          3.29032258  0.          0.77419355  0.19354839  0.4516129
  0.          0.          0.          0.          0.        ]"
1,"[18.          2.5         0.          0.77777778  0.38888889  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.14285714 0.         1.         0.42857143 0.28571429
 0.         0.         1.         0.         0.        ]"
1,"[13.          2.84615385  0.          1.          0.30769231  0.46153846
  0.          0.          0.          0.          0.        ]"
1,"[13.          2.84615385  0.          0.84615385  0.46153846  0.30769231
  0.          0.          0.          0.          0.        ]"
1,[4.   2.75 0.   1.   0.25 0.5  0.   0.   1.   0.   0.  ]
1,[4.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[10.   3.   0.   0.9  0.2  0.5  0.   0.   0.   1.   0. ]
1,"[12.          3.41666667  0.          1.          0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,[2.  3.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[14.          3.42857143  0.          0.85714286  0.35714286  0.28571429
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.5        0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,[10.   3.1  0.   1.   0.3  0.5  0.   0.   1.   0.   0. ]
1,"[12.          2.91666667  0.          1.          0.25        0.41666667
  0.          0.          0.          0.          0.        ]"
1,[5.  1.8 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[11.          3.54545455  0.          1.          0.18181818  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[14.          4.07142857  0.          1.          0.35714286  0.35714286
  0.          0.          0.          0.          0.        ]"
1,"[24.          2.33333333  0.          0.875       0.29166667  0.5
  0.          0.          1.          0.          0.        ]"
1,"[11.          3.72727273  0.          1.          0.09090909  0.45454545
  0.          0.          0.          0.          0.        ]"
1,[5.  2.2 0.  1.  0.4 0.2 0.  0.  0.  0.  0. ]
1,[10.   2.5  0.   1.   0.2  0.7  0.   0.   1.   0.   0. ]
1,"[6.         3.16666667 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,"[37.          2.72972973  0.          0.78378378  0.27027027  0.62162162
  1.          0.          0.          0.          0.        ]"
1,[25.    3.84  0.    0.84  0.28  0.44  0.    0.    0.    0.    0.  ]
1,"[17.          3.05882353  0.          0.88235294  0.23529412  0.47058824
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[7.         3.57142857 0.         1.         0.28571429 0.57142857
 0.         0.         0.         0.         0.        ]"
1,[2.  1.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[6.  2.  0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,[2.  2.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[6.         2.83333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,[10.   2.8  0.   0.9  0.3  0.4  0.   0.   0.   2.   0. ]
1,[5.  2.8 0.  1.  0.2 0.4 0.  0.  0.  0.  0. ]
1,"[27.          2.74074074  0.          0.81481481  0.18518519  0.55555556
  0.          0.          0.          0.          0.        ]"
1,[8.    2.375 0.    1.    0.25  0.625 0.    0.    0.    0.    0.   ]
1,[4.   2.25 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,"[41.          3.3902439   0.          0.75609756  0.29268293  0.43902439
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.          0.          0.88888889  0.38888889  0.38888889
  0.          0.          0.          0.          0.        ]"
1,"[17.          2.76470588  0.          0.88235294  0.35294118  0.29411765
  0.          0.          1.          0.          0.        ]"
1,"[21.          2.47619048  0.          0.71428571  0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,[8.    3.75  0.    1.    0.125 0.5   0.    0.    1.    0.    0.   ]
1,"[19.          2.68421053  0.          0.94736842  0.21052632  0.47368421
  0.          0.          1.          0.          0.        ]"
1,"[15.          3.          0.          0.86666667  0.33333333  0.4
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.22222222 0.         1.         0.44444444 0.22222222
 1.         0.         0.         0.         0.        ]"
1,"[15.          3.          0.          1.          0.4         0.33333333
  0.          0.          1.          0.          0.        ]"
1,[2. 3. 0. 1. 1. 0. 0. 0. 1. 0. 0.]
1,"[9.         3.22222222 0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,[8.    2.625 0.    1.    0.125 0.625 0.    0.    1.    0.    0.   ]
1,"[6.         2.33333333 0.         1.         0.33333333 0.66666667
 0.         0.         1.         0.         0.        ]"
1,"[21.          3.28571429  0.          1.          0.19047619  0.52380952
  0.          0.          1.          0.          0.        ]"
1,[2. 3. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,"[6.         3.33333333 0.         1.         0.16666667 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[24.          2.75        0.          0.70833333  0.33333333  0.375
  0.          0.          0.          0.          0.        ]"
1,"[14.          3.5         0.          1.          0.14285714  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.         0.         0.88888889 0.22222222 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[16.      3.1875  0.      0.9375  0.3125  0.375   0.      0.      0.
  0.      0.    ]"
1,"[7.         3.71428571 0.         1.         0.14285714 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.70588235  0.          0.94117647  0.23529412  0.47058824
  0.          0.          1.          0.          0.        ]"
1,[10.   2.7  0.   0.9  0.3  0.6  0.   0.   0.   0.   0. ]
1,"[3.         4.         0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,"[28.          3.35714286  0.          0.89285714  0.17857143  0.60714286
  0.          0.          0.          0.          0.        ]"
1,[10.   3.3  0.   1.   0.3  0.4  0.   0.   0.   0.   0. ]
1,[8.    2.5   0.    1.    0.125 0.625 0.    0.    0.    0.    0.   ]
1,"[19.          3.36842105  0.          0.84210526  0.21052632  0.47368421
  0.          0.          0.          0.          0.        ]"
1,"[12.          3.16666667  0.          0.91666667  0.25        0.41666667
  0.          0.          1.          0.          0.        ]"
1,"[18.          3.11111111  0.          0.83333333  0.27777778  0.27777778
  0.          0.          0.          0.          0.        ]"
1,"[21.          2.42857143  0.          0.66666667  0.42857143  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.          0.          0.86666667  0.4         0.46666667
  0.          0.          1.          0.          0.        ]"
1,"[38.          2.86842105  0.          0.76315789  0.31578947  0.39473684
  0.          1.          0.          0.          0.        ]"
1,"[13.          3.30769231  0.          1.          0.15384615  0.38461538
  0.          0.          0.          0.          0.        ]"
1,"[12.          2.66666667  0.          1.          0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[11.          2.90909091  0.          1.          0.09090909  0.54545455
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,"[26.          3.          0.          0.92307692  0.15384615  0.57692308
  0.          0.          0.          0.          0.        ]"
1,"[14.          3.35714286  0.          1.          0.21428571  0.42857143
  0.          0.          1.          0.          0.        ]"
1,"[14.          3.92857143  0.          1.          0.28571429  0.35714286
  0.          0.          0.          0.          0.        ]"
1,"[53.          2.69811321  0.          0.66037736  0.18867925  0.45283019
  0.          0.          2.          0.          0.        ]"
1,"[3.         2.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[24.          3.04166667  0.          0.875       0.16666667  0.375
  0.          0.          1.          0.          0.        ]"
1,[10.   2.7  0.   1.   0.3  0.5  1.   0.   0.   0.   0. ]
1,"[11.          3.36363636  0.          0.90909091  0.36363636  0.27272727
  0.          0.          0.          0.          0.        ]"
1,[4.   4.5  0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,[8.    2.875 0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
