Label,Features
1,[8.    2.375 0.    0.875 0.375 0.375 0.    0.    0.    1.    0.   ]
1,"[14.          3.35714286  0.          1.          0.14285714  0.5
  0.          0.          0.          0.          0.        ]"
1,"[9.         4.33333333 0.         1.         0.22222222 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[7.         2.57142857 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[29.          4.31034483  0.          0.82758621  0.20689655  0.44827586
  0.          1.          1.          0.          0.        ]"
1,"[27.          2.96296296  0.          0.85185185  0.18518519  0.44444444
  0.          0.          0.          0.          0.        ]"
1,[5.  3.8 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[22.          3.36363636  0.          0.90909091  0.27272727  0.54545455
  0.          0.          1.          0.          0.        ]"
1,"[11.          4.          0.          1.          0.18181818  0.45454545
  0.          0.          0.          0.          0.        ]"
1,[10.   2.8  0.   1.   0.2  0.6  0.   0.   0.   0.   0. ]
1,"[12.          3.33333333  0.          1.          0.16666667  0.5
  0.          0.          1.          0.          0.        ]"
1,"[12.          2.08333333  0.          0.91666667  0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.28571429 0.         1.         0.14285714 0.57142857
 0.         0.         1.         0.         0.        ]"
1,"[18.          3.05555556  0.          0.83333333  0.27777778  0.55555556
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.25    0.      1.      0.3125  0.3125  0.      0.      1.
  0.      0.    ]"
1,[10.   2.4  0.   1.   0.2  0.3  0.   0.   0.   0.   0. ]
1,"[6.         4.16666667 0.         1.         0.33333333 0.5
 0.         0.         1.         0.         0.        ]"
1,[8.    3.375 0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
1,"[14.          4.07142857  0.          1.          0.21428571  0.57142857
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.57142857 0.         1.         0.14285714 0.28571429
 0.         0.         1.         0.         0.        ]"
1,"[19.          3.31578947  0.          1.          0.15789474  0.52631579
  0.          0.          1.          0.          0.        ]"
1,"[11.          2.81818182  0.          0.90909091  0.27272727  0.45454545
  1.          0.          0.          0.          0.        ]"
1,"[15.          3.13333333  0.          0.86666667  0.4         0.26666667
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.28571429 0.         1.         0.28571429 0.57142857
 0.         0.         0.         1.         0.        ]"
1,"[35.          3.62857143  0.          0.82857143  0.22857143  0.45714286
  0.          0.          0.          0.          0.        ]"
1,"[26.          3.03846154  0.          0.65384615  0.34615385  0.38461538
  0.          1.          0.          0.          0.        ]"
1,"[26.          3.19230769  0.          0.80769231  0.38461538  0.30769231
  1.          1.          0.          0.          0.        ]"
1,"[11.          2.63636364  0.          0.90909091  0.36363636  0.63636364
  0.          0.          2.          0.          0.        ]"
1,"[15.          2.8         0.          0.86666667  0.4         0.4
  1.          0.          0.          0.          0.        ]"
1,"[17.          2.70588235  0.          0.82352941  0.35294118  0.52941176
  0.          0.          1.          0.          0.        ]"
1,"[21.          3.71428571  0.          0.9047619   0.28571429  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.11111111  0.          0.88888889  0.27777778  0.5
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.44444444 0.         0.88888889 0.33333333 0.11111111
 0.         0.         0.         0.         0.        ]"
