Label,Features
1,"[13.          3.15384615  0.          1.          0.23076923  0.53846154
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.33333333 0.         0.88888889 0.44444444 0.33333333
 0.         0.         2.         0.         0.        ]"
1,[25.    4.08  0.    0.84  0.16  0.48  0.    0.    0.    0.    0.  ]
1,[2.  1.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,[8.    2.125 0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
1,[10.   2.2  0.   0.9  0.3  0.5  0.   0.   0.   0.   0. ]
1,"[12.          2.5         0.          0.91666667  0.5         0.5
  0.          0.          0.          0.          0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[19.          2.57894737  0.          0.84210526  0.21052632  0.52631579
  0.          0.          0.          0.          0.        ]"
1,"[3.         1.33333333 0.         1.         0.33333333 0.66666667
 0.         0.         0.         0.         0.        ]"
1,[8.    2.75  0.    1.    0.25  0.375 0.    0.    1.    0.    0.   ]
1,[4.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[14.          3.35714286  0.          1.          0.14285714  0.42857143
  0.          0.          1.          0.          0.        ]"
1,"[7.         2.71428571 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[7.         2.         0.         1.         0.57142857 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[14.          3.28571429  0.          1.          0.14285714  0.57142857
  0.          0.          1.          0.          0.        ]"
1,[12.    3.5   0.    1.    0.25  0.25  0.    0.    0.    0.    0.  ]
1,"[16.      2.375   0.      0.75    0.375   0.4375  0.      0.      0.
  0.      0.    ]"
1,"[16.      2.75    0.      0.875   0.4375  0.3125  0.      0.      0.
  0.      0.    ]"
1,"[3.         4.         0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,[10.   3.2  0.   0.9  0.6  0.2  0.   0.   1.   0.   0. ]
