Label,Features
1,[4.   2.75 0.   1.   0.75 0.25 0.   0.   0.   0.   0.  ]
1,[20.    2.85  0.    0.75  0.3   0.25  0.    0.    1.    0.    0.  ]
1,"[13.          2.61538462  0.          0.84615385  0.23076923  0.53846154
  0.          0.          2.          0.          0.        ]"
1,"[3.         4.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[7.         2.85714286 0.         1.         0.14285714 0.57142857
 0.         0.         0.         0.         0.        ]"
1,"[18.          2.55555556  0.          0.94444444  0.27777778  0.55555556
  0.          0.          0.          0.          0.        ]"
1,"[7.         3.         0.         1.         0.42857143 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[11.          3.09090909  0.          0.90909091  0.27272727  0.36363636
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,[20.    2.8   0.    0.8   0.35  0.45  0.    0.    0.    0.    0.  ]
1,[2.  2.  0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[12.          2.58333333  0.          0.83333333  0.41666667  0.25
  0.          0.          0.          0.          0.        ]"
1,"[45.          3.4         0.          0.77777778  0.26666667  0.44444444
  0.          0.          1.          0.          0.        ]"
1,[10.   2.3  0.   0.9  0.4  0.3  0.   0.   0.   0.   0. ]
1,[5.  3.2 0.  1.  0.2 0.8 0.  0.  1.  0.  0. ]
1,"[6.         3.66666667 0.         1.         0.66666667 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[13.          2.84615385  0.          0.92307692  0.38461538  0.53846154
  0.          0.          2.          0.          0.        ]"
1,"[15.          3.13333333  0.          0.93333333  0.26666667  0.46666667
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.14285714  0.          0.78571429  0.35714286  0.07142857
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.28571429 0.         1.         0.57142857 0.28571429
 0.         0.         0.         0.         0.        ]"
1,[4.   3.25 0.   1.   0.25 0.25 0.   0.   1.   0.   0.  ]
1,"[21.          3.19047619  0.          0.80952381  0.28571429  0.57142857
  0.          0.          0.          0.          0.        ]"
1,"[22.          3.54545455  0.          0.90909091  0.31818182  0.31818182
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.53333333  0.          0.8         0.2         0.66666667
  0.          0.          0.          0.          0.        ]"
1,[8.    3.375 0.    0.875 0.25  0.375 0.    0.    0.    0.    0.   ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[9.         2.88888889 0.         0.88888889 0.44444444 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[9.         2.66666667 0.         1.         0.22222222 0.22222222
 0.         0.         0.         0.         0.        ]"
1,"[41.          3.2195122   0.          0.80487805  0.31707317  0.41463415
  0.          1.          0.          0.          0.        ]"
1,"[7.         2.57142857 0.         1.         0.28571429 0.28571429
 0.         0.         1.         0.         0.        ]"
1,[2.  1.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[16.      2.375   0.      0.8125  0.3125  0.5625  0.      0.      0.
  0.      0.    ]"
1,[5.  2.  0.  1.  0.4 0.2 0.  0.  0.  0.  0. ]
1,"[12.          2.58333333  0.          0.91666667  0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,[8.   2.75 0.   0.25 1.   0.   0.   0.   0.   0.   0.  ]
1,"[13.          3.          0.          0.84615385  0.30769231  0.46153846
  0.          0.          1.          0.          0.        ]"
1,[2.  2.  0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,[4.   3.   0.   1.   0.25 0.5  0.   1.   1.   0.   0.  ]
1,"[16.      2.75    0.      0.875   0.3125  0.5625  0.      0.      0.
  0.      0.    ]"
1,"[12.          1.75        0.          0.75        0.41666667  0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[13.          2.30769231  0.          0.92307692  0.23076923  0.53846154
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.      0.      0.9375  0.3125  0.4375  0.      0.      1.
  0.      0.    ]"
1,"[33.          3.12121212  0.          0.87878788  0.18181818  0.54545455
  0.          0.          1.          0.          0.        ]"
1,"[23.          3.08695652  0.          0.95652174  0.17391304  0.47826087
  0.          0.          0.          0.          0.        ]"
1,[8.    2.75  0.    0.875 0.375 0.375 0.    0.    1.    0.    0.   ]
1,"[9.         2.77777778 0.         0.77777778 0.44444444 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[31.          2.93548387  0.          0.90322581  0.22580645  0.41935484
  0.          0.          1.          0.          0.        ]"
1,"[13.          3.30769231  0.          0.84615385  0.30769231  0.38461538
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.28571429  0.          0.92857143  0.21428571  0.5
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.         0.         0.83333333 0.5        0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[24.          2.91666667  0.          0.875       0.29166667  0.54166667
  0.          0.          0.          0.          0.        ]"
1,[10.   3.7  0.   1.   0.6  0.3  0.   0.   1.   0.   0. ]
1,"[18.          3.27777778  0.          1.          0.27777778  0.44444444
  0.          0.          1.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[21.          3.33333333  0.          0.71428571  0.33333333  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[27.          3.48148148  0.          0.88888889  0.22222222  0.44444444
  0.          0.          1.          0.          0.        ]"
1,"[16.     2.75   0.     0.875  0.25   0.375  0.     0.     1.     1.
  0.   ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[15.          2.86666667  0.          0.86666667  0.26666667  0.4
  0.          0.          0.          0.          0.        ]"
1,"[32.       3.09375  0.       0.78125  0.21875  0.46875  1.       0.
  0.       0.       0.     ]"
1,"[42.          2.97619048  0.          0.76190476  0.16666667  0.47619048
  1.          0.          0.          0.          0.        ]"
1,[8.    3.375 0.    0.875 0.25  0.375 0.    0.    1.    0.    0.   ]
1,"[19.          2.63157895  0.          0.84210526  0.42105263  0.26315789
  0.          0.          1.          0.          0.        ]"
1,[2.  1.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,"[24.          2.75        0.          0.83333333  0.33333333  0.45833333
  0.          0.          1.          0.          0.        ]"
1,"[6.         2.83333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,[8.    3.125 0.    1.    0.5   0.125 0.    0.    0.    0.    0.   ]
1,"[23.          3.17391304  0.          0.91304348  0.26086957  0.52173913
  0.          0.          1.          0.          0.        ]"
1,"[21.          3.42857143  0.          0.9047619   0.38095238  0.23809524
  1.          0.          0.          0.          0.        ]"
1,"[39.          2.76923077  0.          0.79487179  0.20512821  0.53846154
  0.          0.          0.          0.          0.        ]"
1,[4.   1.75 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,"[9.         2.88888889 0.         1.         0.33333333 0.55555556
 0.         0.         1.         0.         0.        ]"
1,"[7.         3.14285714 0.         1.         0.14285714 0.42857143
 0.         0.         1.         0.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[12.          3.25        0.          1.          0.16666667  0.41666667
  0.          0.          1.          0.          0.        ]"
1,[4.   2.75 0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,"[6.         2.         0.         1.         0.16666667 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[11.          3.          0.          1.          0.36363636  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.83333333 0.         1.         0.33333333 0.16666667
 0.         0.         0.         0.         0.        ]"
1,"[47.          3.27659574  0.          0.85106383  0.27659574  0.40425532
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[11.          1.81818182  0.          0.63636364  0.36363636  0.54545455
  0.          0.          0.          0.          0.        ]"
1,[4.   3.25 0.   0.75 0.5  0.   0.   0.   0.   2.   0.  ]
1,[8.   3.25 0.   1.   0.25 0.25 0.   0.   0.   0.   0.  ]
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,[4.   2.25 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,[8.    3.375 0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,"[11.          2.63636364  0.          0.72727273  0.27272727  0.36363636
  0.          0.          0.          0.          0.        ]"
1,"[41.          3.34146341  0.          0.80487805  0.19512195  0.29268293
  1.          0.          0.          0.          0.        ]"
1,"[11.          3.45454545  0.          1.          0.45454545  0.36363636
  0.          0.          0.          0.          0.        ]"
1,[2.  3.  0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,[3. 2. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[9.         3.55555556 0.         1.         0.22222222 0.66666667
 0.         0.         1.         0.         0.        ]"
1,[20.    3.4   0.    0.9   0.15  0.45  0.    1.    1.    0.    0.  ]
1,"[24.          3.29166667  0.          0.875       0.33333333  0.41666667
  1.          0.          0.          0.          0.        ]"
1,"[12.          2.25        0.          0.91666667  0.25        0.41666667
  0.          0.          1.          0.          0.        ]"
1,[25.    2.72  0.    0.76  0.32  0.44  0.    0.    0.    0.    0.  ]
1,"[9.         3.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,[2.  5.  0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,[5.  2.2 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[7.         3.         0.         1.         0.14285714 0.71428571
 0.         0.         1.         0.         0.        ]"
1,"[13.          2.69230769  0.          1.          0.15384615  0.61538462
  0.          0.          0.          0.          0.        ]"
1,"[11.          2.90909091  0.          1.          0.27272727  0.45454545
  0.          0.          0.          0.          0.        ]"
1,[5.  3.  0.  1.  0.2 0.4 0.  0.  0.  0.  0. ]
1,"[7.         2.42857143 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[20.    3.25  0.    0.95  0.3   0.35  0.    0.    0.    0.    0.  ]
1,"[71.          2.5915493   0.          0.6056338   0.26760563  0.46478873
  0.          0.          2.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,[25.    2.76  0.    0.88  0.28  0.56  0.    0.    1.    0.    0.  ]
1,"[3.         2.33333333 0.         1.         0.33333333 0.33333333
 0.         1.         0.         1.         0.        ]"
1,"[32.       3.28125  0.       0.84375  0.25     0.46875  0.       0.
  0.       0.       0.     ]"
1,"[11.          2.36363636  0.          1.          0.27272727  0.45454545
  0.          0.          0.          0.          0.        ]"
1,[8.    3.375 0.    1.    0.125 0.5   0.    0.    0.    0.    0.   ]
1,[5.  2.4 0.  1.  0.4 0.6 0.  0.  1.  0.  0. ]
1,[2.  1.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,[10.   2.6  0.   1.   0.4  0.3  0.   0.   1.   0.   0. ]
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[2. 3. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,"[7.         2.28571429 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[19.          3.05263158  0.          0.94736842  0.26315789  0.47368421
  1.          0.          0.          0.          0.        ]"
1,"[18.          2.83333333  0.          0.61111111  0.33333333  0.44444444
  0.          0.          0.          0.          0.        ]"
1,"[77.          2.93506494  0.          0.66233766  0.23376623  0.42857143
  0.          1.          0.          0.          0.        ]"
1,[10.   3.   0.   1.   0.2  0.4  0.   0.   1.   0.   0. ]
1,"[18.          3.          0.          0.88888889  0.38888889  0.27777778
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.38888889  0.          0.94444444  0.27777778  0.44444444
  0.          0.          1.          0.          0.        ]"
1,[5.  3.4 0.  1.  0.4 0.  0.  1.  0.  0.  0. ]
1,"[9.         3.         0.         0.88888889 0.33333333 0.22222222
 0.         0.         0.         0.         0.        ]"
1,[5.  1.8 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[33.          3.          0.          0.78787879  0.24242424  0.45454545
  0.          0.          1.          0.          0.        ]"
1,[4.   2.5  0.   1.   0.25 0.75 0.   0.   0.   0.   0.  ]
1,[10.   3.3  0.   1.   0.2  0.5  0.   0.   1.   0.   0. ]
1,"[12.          3.83333333  0.          1.          0.16666667  0.41666667
  0.          1.          1.          0.          0.        ]"
1,"[12.          3.25        0.          1.          0.16666667  0.41666667
  0.          0.          1.          0.          0.        ]"
1,"[7.         3.28571429 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,[25.    3.88  0.    0.92  0.16  0.48  0.    0.    0.    0.    0.  ]
1,"[13.          3.          0.          0.84615385  0.23076923  0.38461538
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.73333333  0.          0.8         0.26666667  0.2
  0.          0.          0.          1.          0.        ]"
1,"[17.          3.58823529  0.          0.88235294  0.23529412  0.29411765
  0.          0.          0.          0.          0.        ]"
1,"[19.          3.15789474  0.          0.84210526  0.36842105  0.42105263
  0.          0.          0.          0.          0.        ]"
1,[10.   2.5  0.   1.   0.4  0.4  0.   0.   1.   0.   0. ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[9.         2.88888889 0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[7.         2.85714286 0.         1.         0.14285714 0.71428571
 0.         0.         0.         0.         0.        ]"
1,"[11.          3.27272727  0.          0.90909091  0.27272727  0.45454545
  0.          0.          1.          0.          0.        ]"
1,"[6.         2.5        0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,"[16.      2.5     0.      0.8125  0.375   0.5625  0.      0.      0.
  0.      0.    ]"
1,"[12.          3.58333333  0.          0.66666667  0.33333333  0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[19.          3.05263158  0.          0.84210526  0.26315789  0.42105263
  0.          1.          0.          0.          0.        ]"
1,"[13.          3.15384615  0.          0.92307692  0.30769231  0.46153846
  0.          0.          2.          0.          0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,"[11.          3.36363636  0.          1.          0.45454545  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[19.          3.10526316  0.          0.78947368  0.26315789  0.47368421
  0.          0.          0.          0.          0.        ]"
1,"[19.          2.78947368  0.          0.89473684  0.31578947  0.42105263
  0.          0.          0.          0.          0.        ]"
1,[25.    3.32  0.    0.96  0.2   0.44  1.    0.    0.    0.    0.  ]
1,"[3.         1.66666667 0.         1.         0.66666667 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[10.   2.9  0.   0.9  0.4  0.2  0.   0.   0.   0.   0. ]
1,"[9.         2.77777778 0.         1.         0.11111111 0.44444444
 0.         0.         0.         0.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[10.   2.2  0.   0.9  0.5  0.1  1.   0.   1.   0.   0. ]
1,"[13.          3.15384615  0.          0.92307692  0.38461538  0.53846154
  0.          0.          1.          0.          0.        ]"
1,"[14.          2.42857143  0.          0.71428571  0.28571429  0.64285714
  0.          0.          1.          0.          0.        ]"
1,[8.    2.375 0.    0.625 0.375 0.25  0.    0.    0.    0.    0.   ]
1,[10.   2.2  0.   1.   0.5  0.4  1.   0.   0.   0.   0. ]
1,"[23.          2.60869565  0.          0.91304348  0.26086957  0.43478261
  0.          0.          0.          0.          0.        ]"
1,[10.   2.3  0.   0.9  0.3  0.6  0.   0.   0.   0.   0. ]
1,[10.   3.7  0.   1.   0.3  0.5  0.   0.   0.   0.   0. ]
1,"[11.          2.45454545  0.          0.90909091  0.45454545  0.27272727
  0.          0.          0.          0.          0.        ]"
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[4.   3.   0.   1.   0.25 0.25 0.   0.   0.   0.   0.  ]
1,"[7.         2.28571429 0.         1.         0.57142857 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[37.          2.51351351  0.          0.7027027   0.2972973   0.43243243
  0.          0.          0.          0.          0.        ]"
1,[8.    2.    0.    0.875 0.375 0.25  0.    0.    0.    0.    0.   ]
1,"[29.          3.72413793  0.          0.89655172  0.27586207  0.34482759
  0.          0.          1.          0.          0.        ]"
1,"[18.          1.83333333  0.          0.55555556  0.38888889  0.5
  0.          0.          0.          0.          0.        ]"
1,[5.  3.8 0.  1.  0.4 0.4 0.  0.  1.  0.  0. ]
1,"[7.         3.         0.         0.85714286 0.28571429 0.57142857
 0.         0.         2.         0.         0.        ]"
1,"[7.         1.85714286 0.         1.         0.42857143 0.57142857
 0.         0.         0.         0.         0.        ]"
1,"[51.          2.49019608  0.          0.70588235  0.35294118  0.35294118
  0.          0.          1.          0.          0.        ]"
1,"[6.         2.83333333 0.         1.         0.66666667 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[13.          2.76923077  0.          0.92307692  0.23076923  0.30769231
  0.          0.          0.          0.          0.        ]"
1,[5.  2.6 0.  1.  0.2 0.6 0.  0.  1.  0.  0. ]
1,[8.    2.375 0.    0.875 0.5   0.25  0.    0.    0.    0.    0.   ]
1,[2.  2.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[6.         3.16666667 0.         1.         0.16666667 0.66666667
 0.         0.         1.         0.         0.        ]"
1,"[3.         2.33333333 0.         1.         0.33333333 0.66666667
 0.         0.         1.         0.         0.        ]"
1,[10.   2.6  0.   0.9  0.3  0.5  0.   0.   1.   0.   0. ]
1,[2.  1.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[16.      2.75    0.      0.9375  0.375   0.375   0.      0.      1.
  0.      0.    ]"
