Label,Features
1,"[27.          2.96296296  0.          0.85185185  0.2962963   0.33333333
  0.          0.        ]"
1,"[14.          3.5         0.          0.92857143  0.28571429  0.42857143
  0.          0.        ]"
1,"[12.          3.75        0.          1.          0.33333333  0.41666667
  0.          0.        ]"
1,"[11.          3.45454545  0.          1.          0.27272727  0.36363636
  0.          0.        ]"
1,"[41.          3.85365854  0.          0.43902439  0.2195122   0.29268293
  0.          0.        ]"
1,"[12.          3.08333333  0.          0.91666667  0.16666667  0.5
  0.          0.        ]"
1,[5.  1.6 0.  1.  0.4 0.4 0.  0. ]
1,[8.    3.75  0.    1.    0.375 0.375 0.    0.   ]
1,"[11.          2.81818182  0.          0.90909091  0.27272727  0.63636364
  0.          0.        ]"
1,"[13.          3.46153846  0.          0.92307692  0.30769231  0.46153846
  0.          0.        ]"
0,"[9.         3.11111111 0.         0.88888889 0.33333333 0.33333333
 0.         0.        ]"
0,"[3.         4.33333333 0.         1.         0.33333333 0.33333333
 0.         0.        ]"
0,[2.  3.5 0.  1.  0.5 0.  0.  0. ]
0,[2.  1.5 0.  1.  0.5 0.5 0.  0. ]
0,[10.   3.7  0.   0.9  0.3  0.3  0.   0. ]
0,"[24.          3.41666667  0.          0.91666667  0.16666667  0.41666667
  1.          1.        ]"
0,"[6.         4.5        0.         1.         0.83333333 0.
 0.         0.        ]"
0,"[19.          2.68421053  0.          0.89473684  0.26315789  0.42105263
  0.          0.        ]"
0,"[7.         3.         0.         0.71428571 0.28571429 0.28571429
 0.         0.        ]"
0,"[11.          2.54545455  0.          0.90909091  0.27272727  0.36363636
  0.          0.        ]"
