Label,Features
1,[2.  2.  0.  1.  0.5 0.5 0.  0. ]
1,[10.   2.7  0.   0.9  0.6  0.2  0.   0. ]
1,[32.      4.      0.      0.8125  0.3125  0.375   0.      0.    ]
1,"[53.          4.37735849  0.          0.77358491  0.20754717  0.39622642
  0.          0.        ]"
1,"[36.          3.19444444  0.          0.75        0.33333333  0.41666667
  0.          0.        ]"
1,"[11.          3.          0.          0.90909091  0.36363636  0.18181818
  0.          0.        ]"
1,[4.  2.5 0.  0.5 0.5 0.  0.  0. ]
1,"[9.         2.44444444 0.         0.88888889 0.33333333 0.55555556
 0.         0.        ]"
1,"[60.          3.55        0.          0.76666667  0.18333333  0.56666667
  0.          0.        ]"
1,"[18.          3.5         0.          0.88888889  0.38888889  0.44444444
  0.          0.        ]"
0,"[17.          3.76470588  0.          0.82352941  0.29411765  0.47058824
  0.          0.        ]"
0,"[7.         2.42857143 0.         0.85714286 0.28571429 0.42857143
 0.         0.        ]"
0,"[23.          3.08695652  0.          0.91304348  0.17391304  0.47826087
  0.          0.        ]"
0,"[14.          2.42857143  0.          1.          0.28571429  0.5
  1.          0.        ]"
0,"[7.         2.42857143 0.         1.         0.28571429 0.42857143
 0.         0.        ]"
0,[2.  1.5 0.  1.  0.5 0.  0.  0. ]
0,"[6.         4.16666667 0.         1.         0.33333333 0.5
 0.         0.        ]"
0,"[36.          3.88888889  0.          0.86111111  0.36111111  0.36111111
  0.          0.        ]"
0,[8.    3.125 0.    0.875 0.75  0.25  1.    0.   ]
0,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.        ]"
