Label,Features
1,"[12.          2.75        0.          0.91666667  0.25        0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[11.          3.18181818  0.          0.90909091  0.36363636  0.27272727
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.77777778  0.          0.94444444  0.38888889  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[30.          3.8         0.          0.9         0.26666667  0.43333333
  0.          0.          1.          0.          0.        ]"
1,[4.   2.25 0.   0.75 0.5  0.   0.   0.   0.   0.   0.  ]
1,[4.   2.   0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,[4.   3.5  0.   1.   0.25 0.25 0.   0.   1.   0.   0.  ]
1,"[43.          3.44186047  0.          0.81395349  0.41860465  0.23255814
  0.          0.          1.          0.          0.        ]"
1,"[15.          3.          0.          0.86666667  0.4         0.4
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.625   0.      0.75    0.4375  0.4375  0.      0.      0.
  0.      0.    ]"
1,[5.  3.4 0.  1.  0.2 0.6 0.  0.  1.  0.  0. ]
1,"[37.          3.75675676  0.          0.83783784  0.27027027  0.37837838
  1.          0.          0.          0.          0.        ]"
1,"[44.          3.04545455  0.          0.79545455  0.29545455  0.38636364
  0.          0.          1.          0.          0.        ]"
1,"[3.         2.66666667 0.         1.         0.33333333 0.33333333
 0.         0.         0.         1.         0.        ]"
1,[20.    3.7   0.    0.95  0.25  0.45  0.    0.    0.    0.    0.  ]
1,"[15.          2.13333333  0.          0.86666667  0.33333333  0.2
  0.          0.          0.          1.          0.        ]"
1,"[7.         2.71428571 0.         0.85714286 0.71428571 0.28571429
 1.         0.         0.         0.         0.        ]"
1,"[17.          3.47058824  0.          0.94117647  0.41176471  0.35294118
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.71428571 0.         1.         0.14285714 0.57142857
 0.         0.         1.         0.         0.        ]"
1,"[28.          3.17857143  0.          0.89285714  0.25        0.35714286
  1.          0.          0.          0.          0.        ]"
1,[8.    3.375 0.    1.    0.375 0.125 0.    0.    0.    0.    0.   ]
1,"[7.         3.         0.         0.85714286 0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[7.         3.42857143 0.         0.85714286 0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[11.          2.45454545  0.          0.90909091  0.27272727  0.54545455
  0.          0.          0.          0.          0.        ]"
1,[20.    2.65  0.    0.95  0.2   0.55  0.    0.    2.    0.    0.  ]
1,"[16.      3.875   0.      0.9375  0.3125  0.5     0.      0.      0.
  0.      0.    ]"
1,[2.  4.5 0.  1.  1.  0.  0.  0.  1.  0.  0. ]
1,"[32.       3.3125   0.       0.90625  0.1875   0.625    0.       0.
  0.       0.       0.     ]"
1,"[13.          3.23076923  0.          0.84615385  0.15384615  0.61538462
  1.          0.          0.          0.          0.        ]"
1,[10.   2.6  0.   0.9  0.6  0.2  0.   0.   1.   0.   0. ]
1,"[12.          2.58333333  0.          0.5         0.41666667  0.08333333
  0.          0.          0.          3.          0.        ]"
1,[20.    3.2   0.    0.85  0.2   0.4   0.    0.    0.    0.    0.  ]
1,"[16.      3.1875  0.      0.8125  0.375   0.375   0.      0.      0.
  0.      0.    ]"
1,"[27.          3.66666667  0.          0.92592593  0.2962963   0.44444444
  0.          0.          0.          0.          0.        ]"
1,"[80.      3.275   0.      0.6375  0.2125  0.5125  0.      0.      0.
  0.      0.    ]"
1,"[17.          4.          0.          0.94117647  0.23529412  0.35294118
  0.          0.          0.          0.          0.        ]"
1,"[54.          3.27777778  0.          0.75925926  0.24074074  0.51851852
  1.          0.          1.          0.          0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  1.  0.  0. ]
1,"[7.         2.85714286 0.         1.         0.14285714 0.57142857
 0.         0.         1.         0.         0.        ]"
1,[4.   2.   0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,"[11.          2.90909091  0.          0.90909091  0.18181818  0.45454545
  0.          0.          1.          0.          0.        ]"
1,"[32.       3.375    0.       0.8125   0.28125  0.40625  0.       0.
  0.       0.       0.     ]"
1,"[21.          4.0952381   0.          0.95238095  0.19047619  0.52380952
  0.          0.          1.          0.          0.        ]"
1,"[23.          3.17391304  0.          0.86956522  0.26086957  0.60869565
  0.          0.          0.          0.          0.        ]"
1,[4.   2.   0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,"[22.          3.09090909  0.          1.          0.13636364  0.5
  0.          0.          1.          0.          0.        ]"
1,"[6.         4.         0.         1.         0.5        0.33333333
 0.         0.         1.         0.         0.        ]"
1,[5.  1.8 0.  1.  0.4 0.2 0.  0.  0.  0.  0. ]
1,"[3.         3.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[27.          2.48148148  0.          0.74074074  0.25925926  0.44444444
  0.          0.          0.          1.          0.        ]"
1,[5.  2.6 0.  1.  0.6 0.2 0.  0.  0.  0.  0. ]
1,[20.    3.25  0.    0.8   0.2   0.55  0.    0.    1.    0.    0.  ]
1,"[6.         2.83333333 0.         1.         0.16666667 0.66666667
 0.         0.         1.         0.         0.        ]"
1,"[17.          3.05882353  0.          0.94117647  0.47058824  0.35294118
  0.          0.          0.          0.          0.        ]"
1,"[27.          2.74074074  0.          0.85185185  0.33333333  0.2962963
  0.          0.          0.          0.          0.        ]"
1,[8.    2.875 0.    1.    0.375 0.375 0.    0.    1.    0.    0.   ]
1,"[48.          2.58333333  0.          0.72916667  0.35416667  0.35416667
  0.          0.          0.          0.          0.        ]"
1,[5.  2.8 0.  1.  0.6 0.2 0.  0.  0.  1.  0. ]
1,"[26.          2.61538462  0.          0.76923077  0.5         0.26923077
  0.          0.          1.          0.          0.        ]"
1,"[13.          2.69230769  0.          0.84615385  0.30769231  0.61538462
  0.          0.          1.          1.          0.        ]"
1,"[18.          2.94444444  0.          0.83333333  0.38888889  0.33333333
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[16.      3.75    0.      0.9375  0.25    0.3125  0.      0.      0.
  0.      0.    ]"
1,"[30.          3.          0.          0.76666667  0.26666667  0.5
  0.          0.          0.          0.          0.        ]"
1,"[23.          3.26086957  0.          0.82608696  0.34782609  0.43478261
  0.          0.          0.          0.          0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[13.          3.15384615  0.          1.          0.15384615  0.46153846
  0.          0.          1.          0.          0.        ]"
1,"[9.         3.55555556 0.         1.         0.44444444 0.22222222
 0.         0.         0.         0.         0.        ]"
1,"[19.          3.15789474  0.          0.89473684  0.26315789  0.36842105
  0.          0.          0.          0.          0.        ]"
1,[4.   3.75 0.   1.   0.5  0.5  0.   0.   1.   0.   0.  ]
1,"[24.          3.08333333  0.          0.83333333  0.33333333  0.5
  1.          0.          2.          0.          0.        ]"
1,[4.   2.5  0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,"[28.          3.10714286  0.          0.85714286  0.21428571  0.5
  0.          0.          0.          0.          0.        ]"
1,"[7.         1.85714286 0.         0.57142857 0.42857143 0.42857143
 0.         0.         0.         3.         0.        ]"
1,"[21.          3.85714286  0.          0.9047619   0.23809524  0.52380952
  0.          0.          0.          0.          0.        ]"
1,[5.  2.2 0.  1.  0.4 0.  0.  0.  0.  0.  0. ]
1,[8.    3.    0.    1.    0.125 0.625 0.    0.    0.    0.    0.   ]
1,[10.   3.1  0.   1.   0.3  0.1  0.   0.   0.   0.   0. ]
1,"[59.          3.42372881  0.          0.76271186  0.3220339   0.38983051
  0.          0.          3.          0.          0.        ]"
1,"[37.          3.18918919  0.          0.72972973  0.21621622  0.35135135
  0.          0.          0.          1.          0.        ]"
1,[10.   2.9  0.   1.   0.4  0.4  0.   0.   1.   0.   0. ]
1,"[9.         3.44444444 0.         1.         0.11111111 0.22222222
 0.         0.         0.         1.         0.        ]"
1,"[13.          2.23076923  0.          0.84615385  0.46153846  0.30769231
  0.          0.          0.          0.          0.        ]"
1,[4.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[3.         2.33333333 0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,[25.    3.36  0.    0.84  0.32  0.36  0.    0.    0.    0.    0.  ]
1,[10.   2.6  0.   0.9  0.3  0.4  0.   0.   0.   0.   0. ]
1,"[17.          3.70588235  0.          1.          0.17647059  0.35294118
  0.          1.          0.          0.          0.        ]"
1,"[11.          4.90909091  0.          0.90909091  0.63636364  0.09090909
  0.          0.          0.          0.          0.        ]"
1,[4.   1.75 0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,"[28.          2.57142857  0.          0.78571429  0.32142857  0.39285714
  0.          0.          1.          0.          0.        ]"
1,[4.  3.  0.  0.5 0.5 0.  0.  0.  0.  0.  0. ]
1,"[9.         3.55555556 0.         1.         0.33333333 0.44444444
 0.         0.         1.         0.         0.        ]"
1,[4.   2.5  0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,"[30.          2.6         0.          0.63333333  0.26666667  0.56666667
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.1875  0.      1.      0.25    0.5625  0.      0.      0.
  0.      0.    ]"
1,"[19.          3.15789474  0.          0.84210526  0.26315789  0.47368421
  0.          0.          0.          0.          0.        ]"
1,"[3.         2.33333333 0.         1.         0.33333333 0.33333333
 0.         1.         0.         0.         0.        ]"
1,"[16.      3.      0.      0.8125  0.25    0.4375  0.      0.      0.
  0.      0.    ]"
1,"[24.          2.83333333  0.          0.83333333  0.41666667  0.375
  0.          0.          1.          0.          0.        ]"
1,"[18.          2.94444444  0.          0.88888889  0.38888889  0.27777778
  0.          0.          1.          0.          0.        ]"
1,[2.  3.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[2.  2.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[24.          2.20833333  0.          0.58333333  0.45833333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,[5.  2.  0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[17.          2.11764706  0.          0.76470588  0.35294118  0.47058824
  0.          0.          1.          0.          0.        ]"
1,"[16.      3.25    0.      0.875   0.375   0.4375  0.      0.      1.
  0.      0.    ]"
1,"[6.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[14.          3.07142857  0.          0.92857143  0.28571429  0.35714286
  0.          0.          1.          0.          0.        ]"
1,"[7.         2.85714286 0.         0.85714286 0.57142857 0.14285714
 0.         0.         0.         1.         0.        ]"
1,"[12.          2.83333333  0.          0.83333333  0.5         0.16666667
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.5        0.         0.83333333 0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.29411765  0.          0.94117647  0.23529412  0.35294118
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.14285714  0.          0.78571429  0.42857143  0.21428571
  0.          0.          0.          0.          0.        ]"
1,[4.  1.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[5.  2.2 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,[1. 3. 0. 1. 0. 1. 0. 0. 0. 0. 0.]
1,[4.   3.   0.   1.   0.25 0.25 0.   0.   0.   1.   0.  ]
1,"[11.          3.90909091  0.          0.90909091  0.27272727  0.36363636
  0.          0.          2.          0.          0.        ]"
1,"[30.          3.06666667  0.          0.93333333  0.2         0.43333333
  0.          0.          2.          0.          0.        ]"
1,"[55.          3.12727273  0.          0.70909091  0.25454545  0.43636364
  0.          0.          0.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[16.      2.25    0.      0.6875  0.375   0.4375  0.      0.      0.
  0.      0.    ]"
1,"[21.          3.28571429  0.          0.85714286  0.28571429  0.57142857
  0.          0.          2.          0.          0.        ]"
1,"[17.          3.52941176  0.          1.          0.23529412  0.35294118
  0.          0.          1.          0.          0.        ]"
1,"[9.         2.55555556 0.         0.88888889 0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[14.          4.          0.          0.92857143  0.35714286  0.28571429
  0.          0.          0.          0.          0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[3.         4.         0.         1.         0.66666667 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[16.      2.125   0.      0.625   0.375   0.4375  0.      0.      0.
  0.      0.    ]"
1,[20.    4.2   0.    1.    0.45  0.35  0.    0.    1.    0.    0.  ]
1,"[19.          3.          0.          0.84210526  0.26315789  0.42105263
  0.          0.          0.          0.          0.        ]"
1,[10.   3.4  0.   0.8  0.5  0.2  0.   0.   0.   3.   0. ]
1,"[7.         2.57142857 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[6.         3.83333333 0.         1.         0.16666667 0.5
 0.         0.         0.         0.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[24.          3.25        0.          0.91666667  0.33333333  0.5
  0.          0.          2.          0.          0.        ]"
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[26.          3.73076923  0.          0.80769231  0.11538462  0.42307692
  0.          0.          0.          0.          0.        ]"
1,"[31.          3.19354839  0.          0.77419355  0.19354839  0.35483871
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.35714286  0.          0.85714286  0.5         0.14285714
  0.          0.          0.          0.          0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
