Label,Features
1,"[12.          2.5         0.          0.91666667  0.25        0.5
  0.          0.          0.          0.          0.        ]"
1,"[12.          3.25        0.          1.          0.33333333  0.41666667
  0.          0.          0.          1.          0.        ]"
1,"[23.          3.          0.          0.86956522  0.13043478  0.52173913
  0.          0.          0.          0.          0.        ]"
1,"[27.          2.25925926  0.          0.55555556  0.48148148  0.2962963
  0.          0.          1.          0.          0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[3.         3.         0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,"[7.         3.         0.         0.85714286 0.14285714 0.71428571
 0.         0.         1.         0.         0.        ]"
1,[5.  3.  0.  1.  0.2 0.6 0.  0.  1.  0.  0. ]
1,[5.  2.  0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[27.          2.66666667  0.          0.55555556  0.37037037  0.37037037
  0.          0.          0.          0.          0.        ]"
1,"[17.          2.82352941  0.          0.88235294  0.41176471  0.29411765
  0.          0.          0.          0.          0.        ]"
1,"[22.          2.81818182  0.          0.81818182  0.27272727  0.54545455
  0.          0.          1.          2.          0.        ]"
1,"[14.          3.71428571  0.          1.          0.14285714  0.42857143
  0.          0.          1.          0.          0.        ]"
1,[8.    3.125 0.    1.    0.125 0.625 0.    0.    0.    0.    0.   ]
1,"[13.          3.46153846  0.          1.          0.15384615  0.46153846
  0.          0.          1.          0.          0.        ]"
1,"[3.         3.33333333 0.         1.         1.         0.
 0.         0.         0.         0.         0.        ]"
1,"[32.       3.09375  0.       0.71875  0.21875  0.4375   0.       0.
  0.       0.       0.     ]"
1,"[9.         2.44444444 0.         1.         0.11111111 0.55555556
 0.         0.         1.         0.         0.        ]"
1,"[49.          3.34693878  0.          0.81632653  0.2244898   0.48979592
  0.          0.          1.          0.          0.        ]"
1,"[11.          3.90909091  0.          1.          0.36363636  0.36363636
  0.          0.          0.          0.          0.        ]"
1,[10.   3.4  0.   1.   0.3  0.4  0.   0.   1.   0.   0. ]
1,"[9.         2.66666667 0.         1.         0.22222222 0.55555556
 0.         1.         1.         0.         0.        ]"
