Speaker,Line
Bart,"Thanks, dude."
Bart,You don't have to yell!
Bart,"Whoa! Check out this bitchin' bod! Oh man, if I could just have five minutes alone with my old bullies..."
Bart,Are you guys gonna beat me up?
Bart,"C'mon, let's bond, you stupid jerk."
Bart,Maybe I'll just take a taxi.
Bart,No thanks.
Bart,The only thing that looks good on this stupid planet are the bananas.
Bart,Ay carumba!
Bart,"Hey, what gives, man?"
Bart,Don't you mean tentacles?
Bart,Aye Carumba!
Bart,So... was it okay?
Bart,"Man, back on earth we don't have so many moons."
Bart,"Uh... it's a place on the other side of this planet that's... very rainy so you can only see one moon. You know, like Portland."
Bart,"Man, you are full of surprises."
Bart,I can't believe I'm getting combat pay for this.
Bart,You said you were using birth control!
Bart,"So, where can I load up on this ""Hilarium?"""
Bart,Traitor! How dare you betray the planet I got laid on?!
Bart,"So Kamala, where do we keep all our tanks and planes and stuff?"
Bart,"Oh man, you sound like my art teacher. Look a little like her too."
Bart,I guess this is a good time to tell you I've been a double agent all this time. But now I am totally on your side.
Bart,"Yo, colonel!"
Bart,"Uh, you've got some schmutz on your cheek."
Bart,Eat my shorts! / Aye carumba!
Bart,Victory party under the slide!
Bart,"Hey, thanks for your vote, man."
Bart,"Well, you got that right. Thanks for your vote, girls."
Bart,"Well, don't sweat it. Just so long as a couple of people did... right, Milhouse?"
Bart,Lewis?
Bart,Somebody must have voted.
Bart,Uh oh.
Bart,I demand a recount.
Bart,No.
Bart,"Whoa, somebody was bound to say it one day. I just can't believe it was her."
Bart,"Ah, Dad, if just me, Milhouse and Lewis had voted..."
Bart,No.
Bart,Yeah.
Bart,"Well, no."
Bart,"Hey! Thanks, monkey-man."
Bart,"Yeah, you can't have any fun in bed."
Bart,Please Dad.
Bart,What?
Bart,Yes sir.
Bart,What?
Bart,What?
Bart,They're fighting in the car again.
Bart,I understand why. You were wasted.
Bart,"Dad, I have as much respect for you as I ever did or ever will."
Bart,Now you wanna go?
Bart,"Come back for more, eh?"
Bart,What do you need a babysitter for? I'm almost ten and a half.
Bart,"Don't take that tone with me, young lady, or I'll give you a taste of the back of me hand."
Bart,"Grampa, Mom was in such a hurry, she forgot to give you this. It's a list of the things Lisa and I can and can't do."
Bart,"After the supermarket, we'll go to the video store, grab a Krusty Burger and head for the arcade."
Bart,"Lis, in these crazy, topsy-turvy times, who's to say what's right or wrong? But right now my gut's telling me... Bleed Gramps dry."
Bart,Check.
Bart,Check.
Bart,Check.
Bart,"What's next, Lis?"
Bart,"Hey, Grampa. Aisle six and step on it."
Bart,"Yeah, you should go to bed, Grampa. We've had a big day."
Bart,"Hey Grampa, top me off."
Bart,"For the last time, yes!"
Bart,"Hey, Milhouse. Big blowout at Casa de Simpson. The only adult is frail and old."
Bart,"Milhouse, good to see you, pal. What's happening, man?"
Bart,"Not yet, but the afternoon is young."
Bart,"Lisa, what's wrong?"
Bart,"You're great at a party, Lisa. Really great."
Bart,"Yeah, take care, man. Hey, thanks for coming. Hey, nice tie, Nelson.."
Bart,"Lisa, I have this strong unpleasant feeling I've never had before."
Bart,"Well, how do you make this feeling go away?"
Bart,Please Dad.
Bart,I'll never trust another old person.
Bart,Wow! Number nine! That's before Fallout Boy became his ward.
Bart,What do you care about good comics? All you ever buy is Casper the Wimpy Ghost.
Bart,"Well, you know what I think? I think Casper's the ghost of Richie Rich."
Bart,I wonder how Richie died?
Bart,"Now, Radioactive Man: He rules! Never punches a bad guy without saying something cool."
Bart,"Oh, yeah? Look. He knocks a guy into the sun and says, ""Hot enough for ya?"""
Bart,This looks like a discount for...
Bart,Bartman!
Bart,I'm Bartman!
Bart,Lousy rip off...
Bart,Please Dad.
