Label,Features
1,"[22.          2.81818182  0.          0.86363636  0.18181818  0.36363636
  0.          0.          2.          0.          0.        ]"
1,[5.  2.2 0.  1.  0.6 0.4 1.  0.  0.  0.  0. ]
1,"[16.      3.0625  0.      0.9375  0.4375  0.375   1.      0.      1.
  2.      0.    ]"
1,[4.   1.75 0.   1.   0.5  0.   0.   0.   0.   1.   0.  ]
1,[8.    3.5   0.    0.875 0.25  0.375 0.    0.    0.    1.    0.   ]
1,"[7.         3.71428571 0.         1.         0.14285714 0.57142857
 0.         0.         1.         0.         0.        ]"
1,[4.   2.5  0.   1.   0.25 0.75 0.   0.   1.   0.   0.  ]
1,[5.  2.8 0.  1.  0.4 0.  0.  0.  0.  0.  0. ]
1,[8.    2.625 0.    1.    0.25  0.25  0.    0.    0.    1.    0.   ]
1,"[17.          3.          0.          0.94117647  0.23529412  0.41176471
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.77777778 0.         1.         0.22222222 0.44444444
 0.         0.         1.         1.         0.        ]"
1,[5.  2.8 0.  0.8 0.6 0.  0.  0.  0.  2.  0. ]
1,"[22.          3.09090909  0.          0.90909091  0.22727273  0.36363636
  0.          0.          0.          0.          0.        ]"
1,"[6.         3.16666667 0.         0.83333333 0.33333333 0.33333333
 0.         0.         0.         2.         0.        ]"
1,"[22.          3.18181818  0.          1.          0.36363636  0.27272727
  1.          0.          0.          0.          0.        ]"
1,"[7.         1.85714286 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[6.         3.5        0.         1.         0.33333333 0.5
 0.         0.         0.         0.         1.        ]"
1,[4.   2.25 0.   1.   0.5  0.5  0.   0.   1.   1.   0.  ]
1,"[12.          2.16666667  0.          1.          0.16666667  0.5
  0.          0.          0.          1.          0.        ]"
1,[8.    3.125 0.    0.875 0.25  0.375 0.    0.    0.    2.    0.   ]
1,"[11.          2.81818182  0.          1.          0.27272727  0.27272727
  0.          0.          1.          1.          0.        ]"
1,"[12.          3.33333333  0.          0.91666667  0.25        0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[19.          4.10526316  0.          0.94736842  0.36842105  0.26315789
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[7.         2.57142857 0.         1.         0.57142857 0.14285714
 0.         0.         0.         1.         0.        ]"
1,"[7.         4.         0.         1.         0.42857143 0.28571429
 0.         0.         1.         0.         0.        ]"
1,"[21.          2.71428571  0.          0.9047619   0.23809524  0.47619048
  0.          0.          0.          0.          1.        ]"
1,"[19.          4.15789474  0.          0.78947368  0.36842105  0.31578947
  0.          0.          0.          1.          3.        ]"
1,"[6.         2.5        0.         1.         0.33333333 0.33333333
 0.         1.         0.         0.         0.        ]"
1,[4.   3.75 0.   1.   0.25 0.5  0.   0.   0.   0.   1.  ]
1,"[11.          3.09090909  0.          0.90909091  0.36363636  0.54545455
  0.          0.          0.          2.          0.        ]"
1,[10.   2.9  0.   1.   0.3  0.4  0.   0.   1.   0.   0. ]
1,[5.  3.2 0.  1.  0.2 0.4 0.  0.  0.  1.  0. ]
1,"[15.          3.13333333  0.          0.93333333  0.2         0.4
  0.          0.          0.          0.          0.        ]"
1,[5.  2.2 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,[8.    3.5   0.    1.    0.25  0.375 0.    0.    0.    1.    0.   ]
1,"[16.      3.5     0.      0.875   0.25    0.1875  0.      0.      0.
  2.      0.    ]"
1,"[12.          3.16666667  0.          0.83333333  0.33333333  0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.88888889 0.         1.         0.55555556 0.33333333
 0.         0.         0.         1.         0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,"[15.          2.86666667  0.          1.          0.2         0.4
  0.          0.          0.          0.          0.        ]"
1,[8.   5.5  0.   1.   0.25 0.25 0.   0.   1.   0.   0.  ]
1,[20.    2.7   0.    0.8   0.45  0.35  0.    0.    0.    0.    1.  ]
1,"[6.         3.83333333 0.         1.         0.5        0.16666667
 0.         0.         1.         1.         0.        ]"
1,"[12.          4.25        0.          1.          0.41666667  0.33333333
  0.          0.          0.          1.          0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.
 0.         0.         0.         0.         0.        ]"
1,"[13.          3.07692308  0.          0.92307692  0.07692308  0.53846154
  0.          0.          1.          0.          0.        ]"
1,"[39.          3.56410256  0.          0.76923077  0.25641026  0.35897436
  0.          0.          0.          0.          1.        ]"
1,"[3.         3.66666667 0.         1.         0.66666667 0.
 0.         0.         0.         1.         0.        ]"
1,"[15.          3.4         0.          0.93333333  0.2         0.2
  0.          0.          1.          0.          0.        ]"
1,"[23.          2.56521739  0.          0.7826087   0.47826087  0.34782609
  1.          0.          0.          0.          1.        ]"
1,"[7.         3.42857143 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[12.          3.08333333  0.          1.          0.41666667  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.55555556 0.         1.         0.44444444 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,[10.   4.5  0.   0.6  0.4  0.4  0.   0.   0.   0.   2. ]
1,"[12.          2.91666667  0.          1.          0.16666667  0.41666667
  0.          0.          0.          0.          0.        ]"
1,[2.  3.5 0.  1.  1.  0.  0.  0.  1.  0.  0. ]
1,[8.    2.125 0.    0.875 0.5   0.125 0.    0.    0.    1.    0.   ]
1,"[23.          3.52173913  0.          0.95652174  0.30434783  0.26086957
  0.          0.          0.          0.          0.        ]"
1,"[12.          3.08333333  0.          1.          0.5         0.16666667
  0.          0.          1.          0.          1.        ]"
1,"[13.          3.84615385  0.          1.          0.23076923  0.46153846
  0.          0.          0.          0.          0.        ]"
1,[8.    2.75  0.    1.    0.625 0.125 0.    0.    0.    1.    0.   ]
1,"[12.          2.41666667  0.          0.75        0.5         0.08333333
  0.          0.          0.          2.          0.        ]"
1,"[18.          3.44444444  0.          0.94444444  0.38888889  0.33333333
  0.          0.          1.          0.          0.        ]"
1,"[6.         2.66666667 0.         1.         0.66666667 0.33333333
 0.         0.         0.         0.         1.        ]"
1,[8.    2.875 0.    1.    0.5   0.25  0.    0.    1.    0.    0.   ]
1,[4.   2.75 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,"[15.          3.06666667  0.          0.93333333  0.26666667  0.46666667
  0.          0.          0.          1.          0.        ]"
1,[8.    3.375 0.    1.    0.5   0.125 0.    0.    0.    0.    1.   ]
1,"[3.         1.66666667 0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,"[9.         3.88888889 0.         0.88888889 0.22222222 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[9.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[8.    3.375 0.    1.    0.25  0.375 0.    0.    0.    1.    0.   ]
1,"[9.         3.11111111 0.         1.         0.55555556 0.
 0.         0.         1.         0.         0.        ]"
1,"[9.         3.77777778 0.         1.         0.22222222 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[9.         2.77777778 0.         0.88888889 0.22222222 0.55555556
 0.         0.         2.         0.         0.        ]"
1,[6.  3.  0.  1.  0.5 0.5 0.  0.  0.  1.  0. ]
1,"[13.          3.76923077  0.          1.          0.15384615  0.46153846
  0.          0.          0.          0.          0.        ]"
1,"[3.         2.33333333 0.         1.         0.33333333 0.
 0.         0.         0.         0.         0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  1. ]
1,[8.    2.75  0.    1.    0.375 0.25  0.    0.    0.    0.    0.   ]
1,[8.    3.875 0.    1.    0.375 0.5   0.    0.    1.    0.    0.   ]
1,[8.    3.125 0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,"[13.          2.92307692  0.          0.92307692  0.23076923  0.61538462
  0.          0.          0.          0.          0.        ]"
1,"[11.          3.09090909  0.          0.90909091  0.27272727  0.45454545
  0.          0.          0.          0.          0.        ]"
1,[10.   3.3  0.   0.9  0.3  0.4  0.   0.   1.   1.   0. ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[19.          3.36842105  0.          0.84210526  0.26315789  0.26315789
  0.          0.          0.          0.          0.        ]"
1,[5.  2.8 0.  1.  0.6 0.  0.  0.  0.  1.  0. ]
1,"[18.          2.94444444  0.          0.77777778  0.27777778  0.44444444
  1.          0.          0.          0.          0.        ]"
1,"[15.          3.26666667  0.          0.93333333  0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[3.         2.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         1.         0.        ]"
1,[50.    3.14  0.    0.6   0.36  0.32  0.    0.    0.    1.    1.  ]
1,[25.    3.36  0.    0.8   0.4   0.24  0.    1.    0.    0.    0.  ]
1,[5.  2.2 0.  1.  0.2 0.6 0.  0.  0.  0.  0. ]
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[4.  2.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[22.          3.5         0.          0.90909091  0.13636364  0.36363636
  0.          0.          0.          0.          0.        ]"
1,[8.    2.375 0.    0.875 0.375 0.5   0.    0.    0.    0.    0.   ]
1,[20.    3.3   0.    0.85  0.25  0.45  0.    0.    0.    0.    0.  ]
1,"[16.      3.9375  0.      0.6875  0.5625  0.1875  0.      0.      0.
  0.      0.    ]"
1,"[9.         3.22222222 0.         1.         0.44444444 0.22222222
 0.         0.         0.         1.         0.        ]"
1,"[6.         2.83333333 0.         1.         0.33333333 0.5
 0.         0.         0.         1.         0.        ]"
1,"[46.          2.95652174  0.          0.54347826  0.32608696  0.5
  0.          1.          0.          5.          0.        ]"
1,[5.  4.  0.  1.  0.6 0.  0.  0.  0.  1.  0. ]
1,"[31.          3.19354839  0.          0.83870968  0.25806452  0.4516129
  0.          0.          0.          2.          0.        ]"
1,"[45.          3.04444444  0.          0.68888889  0.4         0.24444444
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.5        0.         1.         0.33333333 0.33333333
 0.         0.         0.         1.         0.        ]"
1,"[19.          3.10526316  0.          0.94736842  0.21052632  0.42105263
  0.          0.          0.          0.          0.        ]"
1,"[9.         4.11111111 0.         0.77777778 0.44444444 0.44444444
 0.         0.         2.         0.         0.        ]"
1,"[16.      3.625   0.      1.      0.25    0.3125  0.      0.      0.
  1.      0.    ]"
1,[8.    3.375 0.    1.    0.625 0.125 0.    0.    0.    1.    0.   ]
1,"[36.          2.94444444  0.          0.69444444  0.22222222  0.5
  0.          0.          0.          0.          0.        ]"
1,"[7.         3.         0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[4.   2.25 0.   1.   0.75 0.25 0.   0.   0.   0.   0.  ]
1,"[35.          3.25714286  0.          0.77142857  0.22857143  0.48571429
  0.          0.          3.          2.          0.        ]"
1,"[19.          3.31578947  0.          0.68421053  0.15789474  0.47368421
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.25    0.      0.9375  0.1875  0.375   0.      0.      0.
  0.      0.    ]"
1,"[15.          2.73333333  0.          0.86666667  0.46666667  0.2
  1.          0.          0.          0.          0.        ]"
1,"[18.          3.22222222  0.          0.88888889  0.38888889  0.27777778
  1.          0.          0.          0.          0.        ]"
1,"[14.          3.57142857  0.          0.85714286  0.28571429  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.          0.          0.93333333  0.33333333  0.4
  0.          0.          0.          0.          0.        ]"
1,[8.    3.    0.    0.875 0.5   0.125 0.    0.    0.    2.    0.   ]
1,"[14.          3.42857143  0.          0.92857143  0.28571429  0.35714286
  0.          0.          1.          0.          0.        ]"
1,[4.   2.   0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,[10.   2.5  0.   1.   0.4  0.4  0.   0.   0.   0.   0. ]
1,[10.   3.4  0.   1.   0.3  0.3  0.   0.   0.   0.   0. ]
1,"[7.         3.71428571 0.         1.         0.14285714 0.28571429
 0.         0.         1.         0.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[5.  3.4 0.  0.8 0.6 0.  0.  0.  0.  0.  0. ]
1,[4.   2.75 0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,[5.  3.2 0.  1.  0.6 0.6 0.  0.  0.  0.  0. ]
1,[4.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[13.          3.46153846  0.          0.84615385  0.30769231  0.53846154
  0.          0.          2.          0.          0.        ]"
1,"[12.          4.16666667  0.          0.91666667  0.08333333  0.5
  0.          0.          0.          1.          0.        ]"
1,[8.    3.375 0.    1.    0.375 0.375 0.    0.    1.    0.    0.   ]
1,"[3.         1.66666667 0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.          0.          0.82352941  0.35294118  0.29411765
  0.          0.          0.          0.          0.        ]"
1,[4.   1.75 0.   1.   0.5  0.   0.   0.   0.   0.   0.  ]
1,"[6.         3.33333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,"[17.          2.70588235  0.          1.          0.23529412  0.41176471
  0.          0.          1.          1.          0.        ]"
1,[4.   2.75 0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,"[6.         2.66666667 0.         1.         0.33333333 0.33333333
 0.         0.         0.         1.         0.        ]"
1,"[16.      3.4375  0.      1.      0.1875  0.4375  0.      0.      0.
  0.      0.    ]"
1,[25.    3.44  0.    0.84  0.32  0.32  0.    0.    0.    0.    0.  ]
1,[10.   2.7  0.   1.   0.5  0.3  0.   0.   0.   0.   1. ]
1,"[14.          3.42857143  0.          0.92857143  0.35714286  0.42857143
  0.          0.          1.          0.          0.        ]"
1,"[7.         3.85714286 0.         1.         0.14285714 0.42857143
 0.         0.         0.         1.         0.        ]"
1,"[9.         3.11111111 0.         0.88888889 0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[23.          3.          0.          0.95652174  0.30434783  0.43478261
  0.          0.          1.          1.          1.        ]"
1,"[17.          3.35294118  0.          0.88235294  0.23529412  0.41176471
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.11111111  0.          1.          0.44444444  0.27777778
  0.          0.          0.          0.          1.        ]"
1,"[19.          3.78947368  0.          0.94736842  0.26315789  0.36842105
  0.          0.          0.          0.          0.        ]"
1,[2.  3.  0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[13.          2.92307692  0.          1.          0.46153846  0.23076923
  1.          0.          1.          1.          0.        ]"
1,"[26.          2.96153846  0.          0.80769231  0.30769231  0.42307692
  0.          0.          0.          0.          5.        ]"
1,[2. 2. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,[8.    3.    0.    1.    0.375 0.25  0.    0.    1.    1.    0.   ]
