Label,Features
1,[10.   3.6  0.   1.   0.1  0.4  0.   0.   0.   0.   0. ]
1,"[11.          3.45454545  0.          0.90909091  0.45454545  0.18181818
  0.          0.          0.          2.          0.        ]"
1,"[18.          3.44444444  0.          1.          0.27777778  0.27777778
  0.          0.          1.          0.          0.        ]"
1,[8.    2.625 0.    0.875 0.375 0.375 1.    0.    0.    2.    0.   ]
1,[5.  2.8 0.  1.  0.2 0.4 0.  0.  0.  1.  0. ]
1,[4.   3.5  0.   1.   0.5  0.25 0.   0.   0.   1.   0.  ]
1,"[18.          2.83333333  0.          0.83333333  0.27777778  0.38888889
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.94444444  0.          1.          0.27777778  0.38888889
  0.          0.          0.          0.          1.        ]"
1,"[27.          3.18518519  0.          0.77777778  0.18518519  0.48148148
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.83333333 0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,[8.    2.75  0.    1.    0.125 0.5   0.    0.    0.    0.    0.   ]
1,"[6.         3.66666667 0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,"[16.      3.625   0.      0.9375  0.375   0.3125  0.      0.      0.
  0.      0.    ]"
1,"[18.          3.          0.          0.83333333  0.27777778  0.38888889
  0.          0.          0.          0.          0.        ]"
1,"[22.          4.90909091  0.          0.90909091  0.13636364  0.31818182
  0.          0.          0.          1.          0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[18.          3.83333333  0.          1.          0.33333333  0.33333333
  0.          0.          0.          0.          1.        ]"
1,"[9.         3.11111111 0.         1.         0.11111111 0.44444444
 0.         0.         0.         0.         0.        ]"
1,[2.  4.  0.  1.  0.5 0.  0.  0.  0.  0.  1. ]
1,"[22.          3.63636364  0.          0.90909091  0.27272727  0.27272727
  0.          0.          0.          0.          0.        ]"
1,"[17.          3.11764706  0.          0.94117647  0.35294118  0.47058824
  1.          0.          0.          0.          0.        ]"
1,"[30.          3.73333333  0.          0.93333333  0.46666667  0.33333333
  0.          0.          1.          0.          0.        ]"
1,"[7.         3.71428571 0.         1.         0.14285714 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[10.   3.5  0.   1.   0.1  0.5  0.   0.   0.   0.   0. ]
1,"[9.         2.88888889 0.         1.         0.33333333 0.44444444
 0.         0.         0.         1.         0.        ]"
1,"[7.         2.71428571 0.         1.         0.57142857 0.
 0.         0.         0.         1.         0.        ]"
1,"[30.          2.83333333  0.          0.8         0.33333333  0.4
  0.          0.          0.          0.          0.        ]"
1,[20.   2.9  0.   0.9  0.3  0.4  0.   1.   1.   1.   0. ]
1,"[22.          3.09090909  0.          0.81818182  0.36363636  0.22727273
  0.          0.          0.          3.          0.        ]"
1,[2.  5.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,"[21.          3.95238095  0.          0.95238095  0.33333333  0.28571429
  0.          0.          0.          0.          0.        ]"
1,"[7.         3.         0.         1.         0.28571429 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[6.         2.83333333 0.         1.         0.66666667 0.
 0.         0.         0.         0.         1.        ]"
1,[25.    4.2   0.    0.88  0.24  0.48  0.    0.    0.    0.    0.  ]
1,[8.    3.375 0.    1.    0.625 0.25  0.    0.    0.    0.    0.   ]
1,"[35.          3.62857143  0.          0.88571429  0.17142857  0.4
  0.          1.          0.          0.          0.        ]"
1,[25.    3.8   0.    0.88  0.28  0.32  0.    0.    0.    0.    0.  ]
1,"[14.          2.85714286  0.          0.85714286  0.42857143  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[17.          3.64705882  0.          1.          0.23529412  0.41176471
  0.          0.          1.          0.          0.        ]"
1,"[12.          3.25        0.          1.          0.33333333  0.41666667
  0.          0.          0.          0.          1.        ]"
1,"[45.          3.35555556  0.          0.84444444  0.42222222  0.28888889
  0.          0.          0.          1.          0.        ]"
1,"[18.          4.27777778  0.          0.77777778  0.44444444  0.27777778
  0.          0.          1.          1.          0.        ]"
1,"[14.          2.85714286  0.          1.          0.35714286  0.35714286
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.53333333  0.          0.93333333  0.4         0.33333333
  1.          0.          0.          1.          0.        ]"
1,"[15.          2.66666667  0.          0.93333333  0.26666667  0.4
  0.          0.          0.          0.          0.        ]"
1,[2.  3.  0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[6.         3.         0.         1.         0.66666667 0.16666667
 0.         0.         1.         0.         0.        ]"
1,[4.   2.25 0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,"[3.         2.         0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,[8.    2.5   0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
1,"[13.          2.53846154  0.          0.92307692  0.38461538  0.38461538
  0.          0.          0.          0.          0.        ]"
1,[5.  5.2 0.  1.  0.6 0.4 0.  0.  0.  1.  0. ]
1,[20.    3.    0.    0.8   0.25  0.5   0.    0.    0.    0.    0.  ]
1,"[15.          2.86666667  0.          1.          0.26666667  0.46666667
  0.          0.          0.          0.          1.        ]"
1,[10.   3.   0.   0.9  0.3  0.5  0.   0.   0.   0.   0. ]
1,"[31.          3.70967742  0.          0.83870968  0.32258065  0.25806452
  1.          0.          0.          0.          0.        ]"
1,"[7.         3.57142857 0.         1.         0.28571429 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[40.     3.55   0.     0.825  0.3    0.425  1.     0.     0.     0.
  0.   ]"
1,"[13.          2.76923077  0.          0.92307692  0.53846154  0.23076923
  0.          0.          0.          0.          0.        ]"
1,"[13.          3.07692308  0.          1.          0.38461538  0.38461538
  1.          0.          1.          0.          0.        ]"
1,"[9.         3.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[16.      3.25    0.      0.9375  0.25    0.5     0.      0.      0.
  0.      0.    ]"
1,"[12.          3.16666667  0.          0.91666667  0.16666667  0.5
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.66666667 0.         1.         0.11111111 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[9.         3.33333333 0.         1.         0.33333333 0.55555556
 0.         0.         0.         0.         0.        ]"
1,"[19.          4.05263158  0.          0.94736842  0.21052632  0.36842105
  0.          0.          0.          1.          1.        ]"
1,[10.   1.8  0.   0.6  0.6  0.3  0.   0.   0.   1.   0. ]
1,[5.  2.8 0.  1.  0.2 0.4 0.  0.  0.  1.  0. ]
1,"[13.          3.69230769  0.          0.84615385  0.23076923  0.53846154
  0.          0.          1.          0.          0.        ]"
1,[5.  1.8 0.  1.  0.8 0.  0.  0.  1.  0.  0. ]
1,"[7.         2.57142857 0.         0.85714286 0.57142857 0.14285714
 0.         0.         0.         2.         0.        ]"
1,"[18.          3.5         0.          0.77777778  0.44444444  0.27777778
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.22222222 0.         1.         0.44444444 0.22222222
 0.         0.         1.         0.         0.        ]"
1,"[11.          3.27272727  0.          0.90909091  0.54545455  0.36363636
  0.          0.          1.          0.          0.        ]"
1,"[16.      2.9375  0.      0.875   0.25    0.4375  0.      0.      0.
  0.      0.    ]"
1,[2.  3.  0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[7.         3.71428571 0.         1.         0.28571429 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[22.          3.59090909  0.          0.86363636  0.22727273  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[32.       3.1875   0.       0.8125   0.34375  0.28125  0.       0.
  0.       3.       0.     ]"
1,"[3.         2.66666667 0.         1.         0.33333333 0.
 0.         0.         0.         1.         0.        ]"
1,"[3.         1.33333333 0.         1.         0.33333333 0.66666667
 0.         0.         0.         1.         0.        ]"
1,[8.    3.375 0.    1.    0.125 0.5   0.    0.    0.    0.    0.   ]
1,"[7.         3.28571429 0.         1.         0.57142857 0.
 0.         0.         0.         0.         0.        ]"
1,[2.  3.  0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[36.          3.16666667  0.          0.77777778  0.19444444  0.44444444
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.71428571 0.         1.         0.28571429 0.28571429
 0.         0.         0.         1.         0.        ]"
1,"[9.         2.77777778 0.         1.         0.33333333 0.44444444
 0.         0.         1.         1.         0.        ]"
1,"[19.          2.94736842  0.          0.89473684  0.31578947  0.47368421
  1.          0.          0.          0.          0.        ]"
1,"[14.          2.71428571  0.          0.92857143  0.14285714  0.64285714
  0.          0.          1.          0.          0.        ]"
1,"[22.          3.          0.          0.77272727  0.31818182  0.40909091
  0.          0.          0.          1.          3.        ]"
1,"[7.         3.42857143 0.         1.         0.14285714 0.57142857
 0.         0.         1.         0.         0.        ]"
1,"[14.          3.71428571  0.          1.          0.28571429  0.28571429
  0.          0.          0.          0.          1.        ]"
1,"[17.          4.35294118  0.          1.          0.23529412  0.29411765
  1.          0.          0.          0.          0.        ]"
1,"[3.         2.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         1.         0.        ]"
1,[2.  3.5 0.  1.  1.  0.  0.  0.  0.  1.  0. ]
1,[8.    3.75  0.    1.    0.375 0.25  0.    0.    1.    0.    1.   ]
1,[10.   3.4  0.   1.   0.4  0.4  0.   0.   0.   0.   0. ]
1,"[13.          2.76923077  0.          0.84615385  0.30769231  0.46153846
  0.          0.          0.          0.          0.        ]"
1,[4.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[8.    2.375 0.    0.875 0.5   0.125 0.    0.    0.    0.    0.   ]
1,"[3.         2.66666667 0.         1.         1.         0.
 1.         0.         1.         0.         0.        ]"
1,[25.    4.04  0.    0.8   0.36  0.4   0.    0.    0.    0.    0.  ]
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[11.          3.63636364  0.          1.          0.18181818  0.54545455
  0.          0.          0.          0.          0.        ]"
1,[8.   3.25 0.   1.   0.25 0.25 0.   0.   0.   0.   0.  ]
1,"[6.         3.33333333 0.         1.         0.5        0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[12.          3.25        0.          1.          0.33333333  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[12.          3.58333333  0.          0.91666667  0.16666667  0.5
  0.          0.          0.          0.          1.        ]"
1,"[19.          2.78947368  0.          0.78947368  0.26315789  0.52631579
  0.          0.          0.          0.          0.        ]"
1,"[27.          3.85185185  0.          0.96296296  0.33333333  0.37037037
  1.          0.          0.          1.          0.        ]"
1,"[16.      2.25    0.      0.6875  0.3125  0.5625  0.      0.      0.
  2.      0.    ]"
1,[5.  4.  0.  1.  0.2 0.6 0.  0.  0.  0.  0. ]
1,"[11.          3.45454545  0.          1.          0.36363636  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[13.          3.07692308  0.          0.92307692  0.30769231  0.23076923
  0.          0.          0.          0.          0.        ]"
1,"[13.          3.46153846  0.          0.76923077  0.23076923  0.53846154
  0.          0.          0.          0.          0.        ]"
1,[2.  4.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[17.          3.52941176  0.          0.94117647  0.47058824  0.41176471
  0.          0.          1.          1.          1.        ]"
1,[4.   2.25 0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,"[9.         3.44444444 0.         0.88888889 0.44444444 0.22222222
 0.         0.         0.         2.         0.        ]"
1,"[6.         3.16666667 0.         0.83333333 0.33333333 0.16666667
 0.         0.         0.         2.         0.        ]"
1,"[13.          3.38461538  0.          0.92307692  0.23076923  0.38461538
  0.          0.          1.          0.          0.        ]"
1,"[26.          3.76923077  0.          0.88461538  0.38461538  0.26923077
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.5        0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,"[6.         2.66666667 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.76470588  0.          0.94117647  0.11764706  0.41176471
  0.          0.          0.          0.          0.        ]"
1,"[11.          3.54545455  0.          1.          0.27272727  0.36363636
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.8         0.          0.86666667  0.4         0.2
  0.          0.          0.          1.          1.        ]"
1,"[21.          2.95238095  0.          0.9047619   0.33333333  0.28571429
  0.          0.          1.          2.          0.        ]"
1,[20.    4.75  0.    1.    0.35  0.2   0.    0.    1.    0.    1.  ]
1,"[23.          3.39130435  0.          0.91304348  0.30434783  0.30434783
  1.          0.          0.          0.          0.        ]"
1,[8.    3.25  0.    1.    0.125 0.5   0.    0.    1.    0.    0.   ]
1,"[17.          3.52941176  0.          0.94117647  0.35294118  0.35294118
  0.          0.          0.          1.          0.        ]"
