Label,Features
1,"[7.         3.57142857 0.         1.         0.28571429 0.42857143
 0.         0.         1.         0.         0.        ]"
1,[8.    2.75  0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,[10.   2.8  0.   0.8  0.6  0.5  0.   0.   0.   0.   0. ]
1,"[29.          3.48275862  0.          0.86206897  0.31034483  0.37931034
  0.          0.          0.          0.          1.        ]"
1,"[11.          3.36363636  0.          1.          0.63636364  0.36363636
  0.          0.          1.          0.          1.        ]"
1,"[19.          2.47368421  0.          0.78947368  0.42105263  0.21052632
  0.          0.          2.          0.          2.        ]"
1,[5.  2.8 0.  1.  0.2 0.4 0.  0.  1.  0.  0. ]
1,"[39.          3.17948718  0.          0.76923077  0.43589744  0.35897436
  0.          0.          0.          0.          0.        ]"
1,[5.  3.6 0.  1.  0.4 0.  0.  0.  0.  0.  0. ]
1,"[18.          3.27777778  0.          0.94444444  0.16666667  0.5
  0.          0.          0.          0.          0.        ]"
1,"[26.          3.57692308  0.          0.80769231  0.30769231  0.30769231
  0.          0.          0.          0.          0.        ]"
1,"[3.         2.         0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[22.          3.77272727  0.          0.86363636  0.54545455  0.27272727
  0.          0.          0.          0.          0.        ]"
1,"[52.          3.40384615  0.          0.84615385  0.26923077  0.34615385
  0.          0.          1.          0.          0.        ]"
1,[5.  3.6 0.  1.  0.4 0.2 0.  0.  1.  0.  0. ]
1,"[6.         2.83333333 0.         1.         0.33333333 0.5
 0.         0.         0.         1.         0.        ]"
1,"[16.      3.3125  0.      1.      0.125   0.4375  0.      0.      0.
  0.      0.    ]"
1,"[9.         3.         0.         1.         0.44444444 0.22222222
 0.         0.         1.         1.         0.        ]"
1,"[17.          3.23529412  0.          0.94117647  0.29411765  0.35294118
  0.          0.          0.          0.          0.        ]"
1,"[23.          2.65217391  0.          0.39130435  0.69565217  0.13043478
  0.          0.          0.          0.          0.        ]"
1,"[34.          3.17647059  0.          0.91176471  0.29411765  0.32352941
  1.          0.          0.          0.          0.        ]"
1,"[11.          3.36363636  0.          1.          0.27272727  0.45454545
  0.          0.          0.          1.          0.        ]"
1,"[17.          3.05882353  0.          0.82352941  0.29411765  0.52941176
  0.          0.          0.          2.          0.        ]"
1,"[32.       3.15625  0.       0.90625  0.28125  0.3125   0.       0.
  2.       1.       0.     ]"
1,[10.   2.9  0.   0.9  0.3  0.5  0.   0.   0.   0.   0. ]
1,"[22.          2.90909091  0.          0.77272727  0.13636364  0.59090909
  0.          0.          0.          0.          0.        ]"
1,"[6.         3.33333333 0.         1.         0.5        0.
 0.         0.         0.         0.         0.        ]"
1,"[27.          3.          0.          0.88888889  0.2962963   0.37037037
  0.          0.          2.          0.          2.        ]"
1,"[7.         3.71428571 0.         1.         0.57142857 0.14285714
 0.         0.         1.         0.         0.        ]"
1,"[18.          3.16666667  0.          0.94444444  0.33333333  0.38888889
  1.          0.          0.          1.          0.        ]"
1,"[6.         3.33333333 0.         1.         0.5        0.
 0.         0.         0.         1.         0.        ]"
1,"[7.         4.         0.         1.         0.57142857 0.14285714
 0.         0.         0.         1.         0.        ]"
1,[25.    2.68  0.    0.84  0.28  0.36  0.    0.    1.    0.    0.  ]
1,"[9.         3.33333333 0.         1.         0.33333333 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.47058824  0.          1.          0.41176471  0.23529412
  1.          0.          0.          0.          0.        ]"
1,"[31.          3.29032258  0.          0.90322581  0.22580645  0.38709677
  0.          0.          0.          0.          1.        ]"
1,"[16.      3.4375  0.      0.8125  0.1875  0.375   0.      0.      0.
  0.      0.    ]"
1,"[7.         3.         0.         1.         0.71428571 0.14285714
 0.         0.         0.         1.         0.        ]"
1,"[21.          3.33333333  0.          0.95238095  0.23809524  0.38095238
  0.          0.          1.          0.          0.        ]"
1,[4.   4.   0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,"[7.         3.85714286 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[25.    3.48  0.    0.8   0.28  0.36  0.    0.    1.    0.    0.  ]
1,[5.  4.8 0.  1.  0.8 0.2 0.  0.  1.  0.  0. ]
1,[20.    3.45  0.    0.8   0.35  0.55  0.    0.    0.    0.    1.  ]
1,"[22.          2.77272727  0.          0.95454545  0.27272727  0.54545455
  0.          0.          0.          1.          0.        ]"
1,"[6.         3.5        0.         1.         0.33333333 0.16666667
 0.         0.         0.         0.         0.        ]"
1,[4.   2.25 0.   1.   0.25 0.75 0.   0.   1.   0.   0.  ]
1,"[7.         2.42857143 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  1. ]
1,"[11.          3.36363636  0.          1.          0.18181818  0.36363636
  0.          0.          0.          0.          0.        ]"
1,[5.  3.6 0.  1.  0.2 0.2 0.  0.  0.  0.  0. ]
1,"[7.         3.         0.         1.         0.28571429 0.42857143
 0.         0.         1.         1.         0.        ]"
1,"[6.         4.33333333 0.         0.66666667 0.33333333 0.
 0.         0.         0.         1.         1.        ]"
1,"[14.          3.42857143  0.          0.92857143  0.28571429  0.42857143
  0.          1.          0.          1.          0.        ]"
1,[2. 5. 0. 1. 1. 0. 0. 0. 0. 0. 1.]
1,"[30.          3.16666667  0.          0.93333333  0.3         0.43333333
  0.          0.          0.          0.          0.        ]"
1,"[11.          3.27272727  0.          1.          0.18181818  0.27272727
  0.          0.          0.          0.          0.        ]"
1,"[32.       3.9375   0.       0.90625  0.28125  0.4375   0.       0.
  0.       0.       0.     ]"
1,[20.    3.4   0.    0.9   0.25  0.45  0.    0.    0.    0.    0.  ]
1,"[11.          2.27272727  0.          0.72727273  0.63636364  0.27272727
  0.          0.          1.          0.          0.        ]"
1,"[27.          2.96296296  0.          0.88888889  0.2962963   0.37037037
  1.          0.          0.          1.          0.        ]"
1,"[6.         3.66666667 0.         1.         0.5        0.
 0.         0.         0.         1.         0.        ]"
1,"[11.          2.54545455  0.          0.90909091  0.36363636  0.54545455
  0.          0.          0.          2.          0.        ]"
1,[8.    4.875 0.    1.    0.25  0.125 0.    0.    0.    1.    0.   ]
1,"[3.         2.33333333 0.         0.66666667 0.33333333 0.
 0.         0.         0.         0.         0.        ]"
1,"[23.          3.56521739  0.          0.91304348  0.43478261  0.34782609
  0.          0.          0.          0.          0.        ]"
1,"[12.          4.83333333  0.          1.          0.33333333  0.41666667
  0.          1.          0.          1.          0.        ]"
1,"[6.         3.5        0.         1.         0.16666667 0.5
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.05882353  0.          1.          0.17647059  0.35294118
  0.          0.          1.          0.          0.        ]"
1,"[34.          3.20588235  0.          0.91176471  0.26470588  0.44117647
  0.          0.          1.          0.          0.        ]"
1,"[15.          3.93333333  0.          0.93333333  0.2         0.4
  0.          0.          1.          0.          0.        ]"
1,"[7.         3.42857143 0.         1.         0.42857143 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[6.         2.66666667 0.         1.         0.33333333 0.16666667
 0.         0.         0.         1.         0.        ]"
1,[10.   2.6  0.   0.9  0.4  0.3  0.   0.   0.   0.   0. ]
1,[20.    2.5   0.    0.7   0.35  0.5   0.    0.    0.    3.    1.  ]
