Speaker,Line
Bree,"There we go. Feel better? Lynette, you were saying?"
Bree,"Paul, Zachary."
Bree,"It was no trouble at all. Now the basket with the red ribbon is just for you and Zachary. It's got rolls, muffins, breakfast type things."
Bree,"Well, the least I could do is make sure you boys had a decent meal to look forward to in the morning. I know you're out of your minds with grief."
Bree,"Of course, I will need the baskets back once you're done."
Bree,"Oh yes, page one of the philanderer's handbook."
Bree,"This is half the reason I joined the NRA. Well, when Rex started going to those medical conferences, I wanted at the back of his mind that he had a loving wife at home, with a loaded Smith and Wesson."
Bree,"So Susan, is he going to stop seeing that woman?"
Bree,"Susan? Susan. I was just saying Paul wants us to go over on Friday. He needs us to go through Mary Alice's closet, and help pack up her things. He says he can't face doing it by himself."
Bree,Are you OK?
Bree,"Danielle, there is nothing abnormal about basil puree."
Bree,"First of all, your father can't eat onions, he's deadly allergic. And I won't even dignify your navy bean suggestion. So. How's the osso bucco?"
Bree,"It's OK? Andrew, I spent 3 hours cooking this meal. How do you think it makes me feel when you say it's OK, in that sullen tone?"
Bree,Excuse me?
Bree,You'd rather I serve pork and beans?
Bree,Are you doing drugs?
Bree,That certainly would explain why you're always locked in the bathroom.
Bree,"Rex. Seeing as you're the head of this household, I would really appreciate you saying something."
Bree,"Andrew, Danielle, napkins?"
Bree,Andrew. This is family time. I think we should all--
Bree,"I know that you think I'm angry about coming here, but I'm not. I mean, the kids wanted a change of pace, something fun. I get it. Probably will want something healthier tomorrow night though, I'm thinking about chicken?"
Bree,Um. Think I'll go get your salad for you.
Bree,"Okay, well, I got you the honey mustard dressing; the ranch looked just a little bit suspect."
Bree,"If you think I'm gonna discuss the dissolution of my marriage in a place where the restrooms are labeled ""chicks"" and ""dudes "", you're out of your mind."
Bree,What do you mean what's in this? It's salad.
Bree,What?
Bree,Oh wait?
Bree,"Yes, well, I feel badly about that. I told you, Mrs. Huber came over and I got distracted. It was a mistake."
Bree,What's that supposed to mean?
Bree,These need water.
Bree,"Susan, are you alright? You look awful."
Bree,We all do.
Bree,"It's a letter, addressed to Mary Alice."
Bree,"Oh my god, she got it the day she died."
Bree,"It's a letter, addressed to Mary Alice."
Bree,"Well, we could do it gently. We could tell him about it over coffee and pastry."
Bree,"Well if it was a joke, it was in very poor taste."
Bree,"It's the age-old question, isn't it? How much do we really wanna know about our neighbours?"
Bree,Good. I have a question for you.
Bree,Do you remember when you proposed?
Bree,"We sat on Skyline Drive and drank a bottle of apple wine. And when we finished it, you turned to me and you said, If you marry me, Bree Mason, I promise to love you for the rest of my life. And even though I was engaged to Ty Grant, and even though my father didn't like you, I said yes."
Bree,"You're gonna cancel the meeting with that divorce lawyer, and we're gonna find ourselves a marriage counsellor."
Bree,You promised.
Bree,"Good, I'm gonna go make myself some, uh, warm milk. Would you like something to drink?"
Bree,"Hi, I'm Bree, and this is my husband Rex. And I brought you some homemade pot pourri."
Bree,"And so, there's just the four of us. My oldest son Andrew is 16, Danielle is 15, and?"
Bree,"Oh, have I?"
Bree,"Um, Doc,um?"
Bree,What? I-I'm sorry.
Bree,"Oh, I.."
Bree,Of course not.
Bree,"Oh. Well, I wish he had called me."
Bree,"What? Oh, oh, oh no, thank you. I have some things that I, I need to do today."
Bree,"Uh, yeah, I'm sure."
Bree,Dr. Goldfine. There is something you can do for me.
Bree,Take off your coat.
Bree,"Oh, who cares what he thinks? I took psychology in college, we learned all about Freud. A miserable human being."
Bree,"Well, think about it. He grew up in the late 1800's, there were no appliances back then. His mother had to do everything by hand, just backbreaking work from sunup to sundown. Not to mention the countless other sacrifices she probably had to make to take care of her family. And what does he do? He grows up and becomes famous, peddling a theory that the problems of most adults can be traced back to something awful their mother has done. There you go."
Bree,Good.
Bree,"That is not true, Rex."
Bree,"Yes, well, I feel badly about that."
Bree,How much do we really wanna know about our neighbours?
Bree,Bye.
Bree,"Rex, wasn't that a lovely?"
Bree,"Rex, Rex! You need to get up!"
Bree,"Please hurry, if the kids see you sleeping down here, they're gonna start asking questions."
Bree,"Well, I care. They don't need to be burdened with our marital problems, and if we're working things out, the least we could do is try to keep up appearances."
Bree,"Oh Rex, you look so tired."
Bree,"Well, why don't you move back upstairs and sleep in our bed?"
Bree,It's just-I miss you.
Bree,"Lynette, these cards are sticky."
Bree,I think it's a great idea.
Bree,Works for me. Should we all make something?
Bree,Lynette!
Bree,Really? Wouldn't that be in poor taste?
Bree,"Well, good, because I have some new flatbread that I've just been dying to show off."
Bree,I'll make braised lamb shanks.
Bree,So how many will I be cooking for?
Bree,Is there somebody you'd like to invite?
Bree,"Well, given that we're hosting it, I say so. By the way, you won't be drinking at this party."
Bree,"Because when you drink, you get chatty. No one needs to know that we're seeing Dr. Goldfine."
Bree,Not a drop!
Bree,"Well, the nurses at your office may start wondering why you're disappearing three times a week. Tennis lessons are a plausible alibi."
Bree,"My backhand's improving immensely, but you're still having problems with your serve."
Bree,"Private sessions? I don't understand, why do we need private sessions?"
